            VZ   Slop/Const
   -0.11800000  -0.00192658
   -0.11400000  -0.00192658
   -0.11000000  -0.00180604
   -0.10600000  -0.00180604
   -0.10200000  -0.00180604
   -0.09800000  -0.00180604
   -0.09400000  -0.00180604
   -0.09000000  -0.00180604
   -0.08600000  -0.00180604
   -0.08200000  -0.00180604
   -0.07800000  -0.00180604
   -0.07400000  -0.00180604
   -0.07000000  -0.00182742
   -0.06600000  -0.00188660
   -0.06200000  -0.00173002
   -0.05800000  -0.00184314
   -0.05400000  -0.00187440
   -0.05000000  -0.00162434
   -0.04600000  -0.00174485
   -0.04200000  -0.00198487
   -0.03800000  -0.00231464
   -0.03400000  -0.00269325
   -0.03000000  -0.00325305
   -0.02600000  -0.00374230
   -0.02200000  -0.00382643
   -0.01800000  -0.00384999
   -0.01400000  -0.00396913
   -0.01000000  -0.00394110
   -0.00600000  -0.00373226
   -0.00200000  -0.00361814
    0.00200000  -0.00370242
    0.00600000  -0.00371791
    0.01000000  -0.00368208
    0.01400000  -0.00383688
    0.01800000  -0.00374728
    0.02200000  -0.00373306
    0.02600000  -0.00386710
    0.03000000  -0.00370632
    0.03400000  -0.00374041
    0.03800000  -0.00388780
    0.04200000  -0.00388660
    0.04600000  -0.00372042
    0.05000000  -0.00382275
    0.05400000  -0.00403024
    0.05800000  -0.00394533
    0.06200000  -0.00375678
    0.06600000  -0.00365627
    0.07000000  -0.00363714
    0.07400000  -0.00358025
    0.07800000  -0.00358025
    0.08200000  -0.00358025
    0.08600000  -0.00358025
    0.09000000  -0.00358025
    0.09400000  -0.00358025
    0.09800000  -0.00358025
    0.10200000  -0.00358025
    0.10600000  -0.00358025
    0.11000000  -0.00358025
    0.11400000  -0.00358025
    0.11800000  -0.00358025
