 RunNo         P0_R         P0_E       Target        Kin
  3872      2.50674      2.50500   Dummy_20cm     kin5.0
  3873      2.50671      2.50500   Dummy_20cm     kin5.0
  3635      2.50674      2.50500           H2     kin5.0
  3636      2.50671      2.50500           H2     kin5.0
  3637      2.50675      2.50500           H2     kin5.0
  3638      2.50674      2.50500           H2     kin5.0
  3639      2.50674      2.50500           H2     kin5.0
  3846      2.50683      2.50500          He3     kin5.0
  3848      2.50683      2.50500          He3     kin5.0
  3849      2.50683      2.50500          He3     kin5.0
  3852      2.50683      2.50500          He3     kin5.0
  3853      2.50644      2.50500          He3     kin5.0
  3854      2.50675      2.50500          He3     kin5.0
  3855      2.50679      2.50500          He3     kin5.0
  3856      2.50678      2.50500          He3     kin5.0
  3857      2.50677      2.50500          He3     kin5.0
  3859      2.50676      2.50500          He3     kin5.0
  3860      2.50677      2.50500          He3     kin5.0
  3861      2.50674      2.50500          He3     kin5.0
  3607      2.50677      2.50500          He4     kin5.0
  3608      2.50677      2.50500          He4     kin5.0
  3609      2.50677      2.50500          He4     kin5.0
  3611      2.50677      2.50500          He4     kin5.0
  3612      2.50677      2.50500          He4     kin5.0
  3613      2.50677      2.50500          He4     kin5.0
  3614      2.50679      2.50500          He4     kin5.0
  3616      2.50678      2.50500          He4     kin5.0
  3617      2.50674      2.50500          He4     kin5.0
  3618      2.50668      2.50500          He4     kin5.0
  3619      2.50668      2.50500          He4     kin5.0
  3621      2.50670      2.50500          He4     kin5.0
  3622      2.50669      2.50500          He4     kin5.0
  3641      2.50668      2.50500       Optics     kin5.0
  3890      0.00000      2.50500       Optics     kin5.0
  4190      2.65000      2.65000   Dummy_20cm    kin5.05
  4191      2.65000      2.65000   Dummy_20cm    kin5.05
  4192      2.65000      2.65000   Dummy_20cm    kin5.05
  4181      2.65000      2.65000          He3    kin5.05
  4184      2.65000      2.65000          He3    kin5.05
  4187      2.65000      2.65000          He3    kin5.05
  4188      2.65000      2.65000          He3    kin5.05
  4189      2.65000      2.65000          He3    kin5.05
  3650      2.79658      2.79500          C12     kin5.1
  3651      2.79655      2.79500          C12     kin5.1
  3822      2.79653      2.79500          C12     kin5.1
  3823      2.79658      2.79500          C12     kin5.1
  3824      2.79663      2.79500          C12     kin5.1
  3825      2.79658      2.79500          C12     kin5.1
  3837      2.79653      2.79500         Ca40     kin5.1
  3838      2.79652      2.79500         Ca40     kin5.1
  3839      2.79653      2.79500         Ca40     kin5.1
  3840      2.79648      2.79500         Ca40     kin5.1
  3841      2.79660      2.79500         Ca40     kin5.1
  3842      2.79657      2.79500         Ca40     kin5.1
  3843      2.79663      2.79500         Ca40     kin5.1
  3844      2.79659      2.79500         Ca40     kin5.1
  3829      2.79658      2.79500         Ca48     kin5.1
  3830      2.79655      2.79500         Ca48     kin5.1
  3831      2.79652      2.79500         Ca48     kin5.1
  3832      2.79651      2.79500         Ca48     kin5.1
  3833      2.79650      2.79500         Ca48     kin5.1
  3834      2.79652      2.79500         Ca48     kin5.1
  3835      2.79653      2.79500         Ca48     kin5.1
  3826      2.79659      2.79500   Dummy_20cm     kin5.1
  3827      2.79659      2.79500   Dummy_20cm     kin5.1
  3828      2.79657      2.79500   Dummy_20cm     kin5.1
  3643      2.79661      2.79500           H2     kin5.1
  3644      2.79662      2.79500           H2     kin5.1
  3645      2.79663      2.79500           H2     kin5.1
  3646      2.79657      2.79500           H2     kin5.1
  3648      2.79660      2.79500           H2     kin5.1
  3810      2.79631      2.79500          He3     kin5.1
  3811      2.79663      2.79500          He3     kin5.1
  3812      2.79663      2.79500          He3     kin5.1
  3813      2.79658      2.79500          He3     kin5.1
  3814      2.79654      2.79500          He3     kin5.1
  3815      2.79661      2.79500          He3     kin5.1
  3818      2.79663      2.79500          He3     kin5.1
  3819      2.79664      2.79500          He3     kin5.1
  3820      2.79663      2.79500          He3     kin5.1
  3821      2.79654      2.79500          He3     kin5.1
  3652      2.79652      2.79500          He4     kin5.1
  3653      2.79649      2.79500          He4     kin5.1
  3654      2.79660      2.79500          He4     kin5.1
  3655      2.79654      2.79500          He4     kin5.1
  3656      2.79654      2.79500          He4     kin5.1
  3581      2.99640      2.99500          C12     kin5.2
  3585      2.99644      2.99500          C12     kin5.2
  3590      2.99641      2.99500          C12     kin5.2
  3591      2.99641      2.99500          C12     kin5.2
  3592      2.99643      2.99500          C12     kin5.2
  3759      2.99638      2.99500          C12     kin5.2
  3760      2.99634      2.99500          C12     kin5.2
  3795      2.99639      2.99500          C12     kin5.2
  3796      2.99633      2.99500          C12     kin5.2
  3797      2.99635      2.99500          C12     kin5.2
  3798      2.99642      2.99500          C12     kin5.2
  3799      2.99641      2.99500          C12     kin5.2
  4209      2.99633      2.99500          C12     kin5.2
  4210      2.99637      2.99500          C12     kin5.2
  4211      2.99647      2.99500         Ca40     kin5.2
  4212      2.99644      2.99500         Ca40     kin5.2
  4213      2.99633      2.99500         Ca40     kin5.2
  4214      2.99633      2.99500         Ca48     kin5.2
  3761      2.99640      2.99500   Dummy_20cm     kin5.2
  3765      2.99642      2.99500   Dummy_20cm     kin5.2
  3800      2.99642      2.99500   Dummy_20cm     kin5.2
  3801      2.99644      2.99500   Dummy_20cm     kin5.2
  3802      2.99641      2.99500   Dummy_20cm     kin5.2
  3803      2.99634      2.99500   Dummy_20cm     kin5.2
  3804      2.99643      2.99500   Dummy_20cm     kin5.2
  3805      2.99642      2.99500   Dummy_20cm     kin5.2
  4229      2.99638      2.99500   Dummy_20cm     kin5.2
  4230      2.99640      2.99500   Dummy_20cm     kin5.2
  4241      2.99640      2.99500   Dummy_20cm     kin5.2
  3735      2.99633      2.99500          He3     kin5.2
  3736      2.99642      2.99500          He3     kin5.2
  3737      2.99643      2.99500          He3     kin5.2
  3738      2.99636      2.99500          He3     kin5.2
  3739      2.99631      2.99500          He3     kin5.2
  3740      2.99639      2.99500          He3     kin5.2
  3741      2.99639      2.99500          He3     kin5.2
  3742      2.99633      2.99500          He3     kin5.2
  3743      2.99633      2.99500          He3     kin5.2
  3744      2.99633      2.99500          He3     kin5.2
  3745      2.99633      2.99500          He3     kin5.2
  3746      2.99643      2.99500          He3     kin5.2
  3747      2.99637      2.99500          He3     kin5.2
  3748      2.99639      2.99500          He3     kin5.2
  3749      2.99647      2.99500          He3     kin5.2
  3750      2.99637      2.99500          He3     kin5.2
  3751      2.99630      2.99500          He3     kin5.2
  3752      2.99631      2.99500          He3     kin5.2
  3753      2.99637      2.99500          He3     kin5.2
  3754      2.99641      2.99500          He3     kin5.2
  3755      2.99634      2.99500          He3     kin5.2
  3756      2.99641      2.99500          He3     kin5.2
  3757      2.99643      2.99500          He3     kin5.2
  3758      2.99632      2.99500          He3     kin5.2
  3766      2.99640      2.99500          He3     kin5.2
  3767      2.99634      2.99500          He3     kin5.2
  3768      2.99638      2.99500          He3     kin5.2
  3769      2.99643      2.99500          He3     kin5.2
  3770      2.99642      2.99500          He3     kin5.2
  3771      2.99634      2.99500          He3     kin5.2
  3772      2.99633      2.99500          He3     kin5.2
  3773      2.99638      2.99500          He3     kin5.2
  3774      2.99639      2.99500          He3     kin5.2
  3775      2.99635      2.99500          He3     kin5.2
  3776      2.99631      2.99500          He3     kin5.2
  3778      2.99638      2.99500          He3     kin5.2
  3779      2.99646      2.99500          He3     kin5.2
  3807      2.99646      2.99500          He3     kin5.2
  4217      2.99639      2.99500          He3     kin5.2
  4218      2.99644      2.99500          He3     kin5.2
  4219      2.99639      2.99500          He3     kin5.2
  4220      2.99643      2.99500          He3     kin5.2
  4221      2.99642      2.99500          He3     kin5.2
  4222      2.99632      2.99500          He3     kin5.2
  4223      2.99631      2.99500          He3     kin5.2
  4224      2.99631      2.99500          He3     kin5.2
  4225      2.99635      2.99500          He3     kin5.2
  4226      2.99642      2.99500          He3     kin5.2
  4227      2.99637      2.99500          He3     kin5.2
  4228      2.99635      2.99500          He3     kin5.2
  4232      2.99705      2.99500          He3     kin5.2
  4233      2.99704      2.99500          He3     kin5.2
  4234      2.99706      2.99500          He3     kin5.2
  4235      2.99735      2.99500          He3     kin5.2
  4236      2.99704      2.99500          He3     kin5.2
  4237      2.99705      2.99500          He3     kin5.2
  4238      2.99699      2.99500          He3     kin5.2
  4239      2.99701      2.99500          He3     kin5.2
  4240      2.99699      2.99500          He3     kin5.2
  3565      2.99643      2.99500          He4     kin5.2
  3566      2.99646      2.99500          He4     kin5.2
  3567      2.99639      2.99500          He4     kin5.2
  3568      2.99641      2.99500          He4     kin5.2
  3569      2.99645      2.99500          He4     kin5.2
  3570      2.99639      2.99500          He4     kin5.2
  3571      2.99636      2.99500          He4     kin5.2
  3572      2.99646      2.99500          He4     kin5.2
  3573      2.99639      2.99500          He4     kin5.2
  3574      2.99636      2.99500          He4     kin5.2
  3575      2.99643      2.99500          He4     kin5.2
  3576      2.99641      2.99500          He4     kin5.2
  3577      2.99634      2.99500          He4     kin5.2
  3578      2.99633      2.99500          He4     kin5.2
  3579      2.99641      2.99500          He4     kin5.2
  3583      2.99642      2.99500          He4     kin5.2
  3584      2.99641      2.99500          He4     kin5.2
  3917      2.84500      2.84500          BeO     kin6.5
  4077      2.84645      2.84500          BeO     kin6.5
  4078      2.84655      2.84500          BeO     kin6.5
  4272      2.84655      2.84500          BeO     kin6.5
  3949      2.84655      2.84500          C12     kin6.5
  3950      2.84650      2.84500          C12     kin6.5
  4013      2.84658      2.84500          C12     kin6.5
  4014      2.84652      2.84500          C12     kin6.5
  4015      2.84648      2.84500          C12     kin6.5
  4016      2.84654      2.84500          C12     kin6.5
  4017      2.84654      2.84500          C12     kin6.5
  4062      2.84654      2.84500          C12     kin6.5
  4063      2.84656      2.84500          C12     kin6.5
  4064      2.84645      2.84500          C12     kin6.5
  4065      2.84649      2.84500          C12     kin6.5
  4068      2.84652      2.84500          C12     kin6.5
  4091      2.84647      2.84500          C12     kin6.5
  4092      2.84646      2.84500          C12     kin6.5
  4093      2.84653      2.84500          C12     kin6.5
  4094      2.84660      2.84500          C12     kin6.5
  4267      2.84650      2.84500          C12     kin6.5
  4268      2.84649      2.84500          C12     kin6.5
  4269      2.84661      2.84500          C12     kin6.5
  3951      2.84650      2.84500   Dummy_20cm     kin6.5
  3952      2.84657      2.84500   Dummy_20cm     kin6.5
  3953      2.84647      2.84500   Dummy_20cm     kin6.5
  3954      2.84658      2.84500   Dummy_20cm     kin6.5
  3955      2.84649      2.84500   Dummy_20cm     kin6.5
  3956      2.84656      2.84500   Dummy_20cm     kin6.5
  4018      2.84649      2.84500   Dummy_20cm     kin6.5
  4019      2.84648      2.84500   Dummy_20cm     kin6.5
  4020      2.84658      2.84500   Dummy_20cm     kin6.5
  4021      2.84654      2.84500   Dummy_20cm     kin6.5
  4022      2.84655      2.84500   Dummy_20cm     kin6.5
  4023      2.84651      2.84500   Dummy_20cm     kin6.5
  4024      2.84649      2.84500   Dummy_20cm     kin6.5
  4069      2.84660      2.84500   Dummy_20cm     kin6.5
  4070      2.84659      2.84500   Dummy_20cm     kin6.5
  4071      2.84647      2.84500   Dummy_20cm     kin6.5
  4076      2.84642      2.84500   Dummy_20cm     kin6.5
  4100      2.84650      2.84500   Dummy_20cm     kin6.5
  4101      2.84651      2.84500   Dummy_20cm     kin6.5
  4270      2.84650      2.84500   Dummy_20cm     kin6.5
  4271      2.84655      2.84500   Dummy_20cm     kin6.5
  3923      2.84904      2.84500          He3     kin6.5
  3924      2.84644      2.84500          He3     kin6.5
  3925      2.84658      2.84500          He3     kin6.5
  3926      2.84655      2.84500          He3     kin6.5
  3927      2.84657      2.84500          He3     kin6.5
  3928      2.84649      2.84500          He3     kin6.5
  3929      2.84647      2.84500          He3     kin6.5
  3930      2.84651      2.84500          He3     kin6.5
  3931      2.84655      2.84500          He3     kin6.5
  3932      2.84657      2.84500          He3     kin6.5
  3933      2.84656      2.84500          He3     kin6.5
  3934      2.84650      2.84500          He3     kin6.5
  3935      2.84649      2.84500          He3     kin6.5
  3936      2.84649      2.84500          He3     kin6.5
  3938      2.84658      2.84500          He3     kin6.5
  3939      2.84657      2.84500          He3     kin6.5
  3940      2.84656      2.84500          He3     kin6.5
  3941      2.84647      2.84500          He3     kin6.5
  3942      2.84647      2.84500          He3     kin6.5
  3943      2.84653      2.84500          He3     kin6.5
  3944      2.84657      2.84500          He3     kin6.5
  3945      2.84651      2.84500          He3     kin6.5
  3946      2.84648      2.84500          He3     kin6.5
  3947      2.84655      2.84500          He3     kin6.5
  3948      2.84649      2.84500          He3     kin6.5
  3978      2.84644      2.84500          He3     kin6.5
  3979      2.84650      2.84500          He3     kin6.5
  3980      2.84653      2.84500          He3     kin6.5
  3981      2.84653      2.84500          He3     kin6.5
  3982      2.84655      2.84500          He3     kin6.5
  3983      2.84652      2.84500          He3     kin6.5
  3984      2.84651      2.84500          He3     kin6.5
  3985      2.84648      2.84500          He3     kin6.5
  3986      2.84653      2.84500          He3     kin6.5
  3987      2.84655      2.84500          He3     kin6.5
  3988      2.84655      2.84500          He3     kin6.5
  3989      2.84654      2.84500          He3     kin6.5
  3990      2.84648      2.84500          He3     kin6.5
  3991      2.84645      2.84500          He3     kin6.5
  3992      2.84645      2.84500          He3     kin6.5
  3993      2.84655      2.84500          He3     kin6.5
  3994      2.84655      2.84500          He3     kin6.5
  3995      2.84651      2.84500          He3     kin6.5
  3996      2.84646      2.84500          He3     kin6.5
  3997      2.84655      2.84500          He3     kin6.5
  3998      2.84650      2.84500          He3     kin6.5
  4000      2.84650      2.84500          He3     kin6.5
  4001      2.84655      2.84500          He3     kin6.5
  4002      2.84659      2.84500          He3     kin6.5
  4003      2.84655      2.84500          He3     kin6.5
  4004      2.84645      2.84500          He3     kin6.5
  4005      2.84647      2.84500          He3     kin6.5
  4006      2.84660      2.84500          He3     kin6.5
  4007      2.84648      2.84500          He3     kin6.5
  4008      2.84645      2.84500          He3     kin6.5
  4009      2.84656      2.84500          He3     kin6.5
  4010      2.84652      2.84500          He3     kin6.5
  4011      2.84652      2.84500          He3     kin6.5
  4012      2.84646      2.84500          He3     kin6.5
  4026      2.84645      2.84500          He3     kin6.5
  4027      2.84653      2.84500          He3     kin6.5
  4028      2.84655      2.84500          He3     kin6.5
  4029      2.84648      2.84500          He3     kin6.5
  4030      2.84654      2.84500          He3     kin6.5
  4031      2.84648      2.84500          He3     kin6.5
  4032      2.84654      2.84500          He3     kin6.5
  4033      2.84653      2.84500          He3     kin6.5
  4034      2.84653      2.84500          He3     kin6.5
  4035      2.84658      2.84500          He3     kin6.5
  4036      2.84660      2.84500          He3     kin6.5
  4037      2.84651      2.84500          He3     kin6.5
  4038      2.84645      2.84500          He3     kin6.5
  4046      2.84646      2.84500          He3     kin6.5
  4048      2.84659      2.84500          He3     kin6.5
  4049      2.84653      2.84500          He3     kin6.5
  4050      2.84646      2.84500          He3     kin6.5
  4051      2.84654      2.84500          He3     kin6.5
  4052      2.84651      2.84500          He3     kin6.5
  4053      2.84650      2.84500          He3     kin6.5
  4054      2.84645      2.84500          He3     kin6.5
  4055      2.84652      2.84500          He3     kin6.5
  4056      2.84652      2.84500          He3     kin6.5
  4057      2.84652      2.84500          He3     kin6.5
  4058      2.84649      2.84500          He3     kin6.5
  4059      2.84645      2.84500          He3     kin6.5
  4060      2.84651      2.84500          He3     kin6.5
  4061      2.84649      2.84500          He3     kin6.5
  4074      2.84651      2.84500          He3     kin6.5
  4075      2.84657      2.84500          He3     kin6.5
  4081      2.84651      2.84500          He3     kin6.5
  4082      2.84647      2.84500          He3     kin6.5
  4083      2.84644      2.84500          He3     kin6.5
  4084      2.84651      2.84500          He3     kin6.5
  4085      2.84661      2.84500          He3     kin6.5
  4086      2.84653      2.84500          He3     kin6.5
  4087      2.84653      2.84500          He3     kin6.5
  4088      2.84658      2.84500          He3     kin6.5
  4089      2.84657      2.84500          He3     kin6.5
  4090      2.84652      2.84500          He3     kin6.5
  4251      2.84653      2.84500          He3     kin6.5
  4252      2.84653      2.84500          He3     kin6.5
  4253      2.84653      2.84500          He3     kin6.5
  4254      2.84650      2.84500          He3     kin6.5
  4255      2.84652      2.84500          He3     kin6.5
  4256      2.84650      2.84500          He3     kin6.5
  4257      2.84652      2.84500          He3     kin6.5
  4261      2.84656      2.84500          He3     kin6.5
  4262      2.84656      2.84500          He3     kin6.5
  4263      2.84649      2.84500          He3     kin6.5
  4264      2.84652      2.84500          He3     kin6.5
  4265      2.84657      2.84500          He3     kin6.5
  4266      2.84646      2.84500          He3     kin6.5
  4275      2.84651      2.84500          He3     kin6.5
  4276      2.84653      2.84500          He3     kin6.5
  4295      2.84655      2.84500          He3     kin6.5
  4296      2.84653      2.84500          He3     kin6.5
  4297      2.84655      2.84500          He3     kin6.5
  4298      2.84655      2.84500          He3     kin6.5
  4299      2.84654      2.84500          He3     kin6.5
  4079      2.84658      2.84500       Optics     kin6.5
