    x       Q2         F2       stat       sys     
 0.550    21.50      0.08376   0.00228   0.00197 
 0.550    24.50      0.08632   0.00186   0.00171 
 0.550    28.00      0.08123   0.00150   0.00151 
 0.550    32.50      0.08018   0.00126   0.00180 
 0.550    37.50      0.07995   0.00138   0.00152 
 0.550    43.00      0.07659   0.00105   0.00151 
 0.550    49.50      0.07634   0.00106   0.00133 
 0.550    57.00      0.07501   0.00104   0.00116 
 0.550    65.50      0.07039   0.00106   0.00094 
 0.550    75.00      0.07081   0.00125   0.00090 
 0.550    86.00      0.07083   0.00140   0.00087 
 0.550    99.00      0.06773   0.00153   0.00074 
 0.550   115.50      0.06600   0.00151   0.00066 
 0.550   137.50      0.06734   0.00168   0.00059 
 0.550   175.00      0.05990   0.00273   0.00059 
 0.550   230.00      0.06091   0.00366   0.00050 
 0.650    13.25      0.04389   0.00187   0.00480 
 0.650    15.00      0.04264   0.00166   0.00404 
 0.650    17.00      0.04143   0.00140   0.00369 
 0.650    19.00      0.04204   0.00152   0.00324 
 0.650    21.50      0.04048   0.00138   0.00274 
 0.650    24.50      0.04015   0.00107   0.00206 
 0.650    28.00      0.03829   0.00107   0.00175 
 0.650    32.50      0.03738   0.00077   0.00206 
 0.650    37.50      0.03653   0.00087   0.00185 
 0.650    43.00      0.03545   0.00066   0.00182 
 0.650    49.50      0.03474   0.00066   0.00159 
 0.650    57.00      0.03307   0.00064   0.00133 
 0.650    65.50      0.03198   0.00068   0.00107 
 0.650    75.00      0.03212   0.00075   0.00092 
 0.650    86.00      0.03227   0.00092   0.00087 
 0.650    99.00      0.03151   0.00097   0.00076 
 0.650   115.50      0.02861   0.00100   0.00061 
 0.650   137.50      0.02878   0.00112   0.00048 
 0.650   175.00      0.02724   0.00189   0.00052 
 0.650   230.00      0.02965   0.00248   0.00047 
 0.750    24.50      0.01357   0.00064   0.00166 
 0.750    28.00      0.01365   0.00068   0.00156 
 0.750    32.50      0.01319   0.00049   0.00130 
 0.750    37.50      0.01180   0.00056   0.00100 
 0.750    43.00      0.01222   0.00034   0.00149 
 0.750    49.50      0.01164   0.00036   0.00126 
 0.750    57.00      0.01113   0.00035   0.00125 
 0.750    65.50      0.01083   0.00039   0.00104 
 0.750    75.00      0.01090   0.00042   0.00094 
 0.750    86.00      0.00991   0.00046   0.00083 
 0.750    99.00      0.00918   0.00048   0.00064 
 0.750   115.50      0.00819   0.00051   0.00054 
 0.750   137.50      0.00909   0.00057   0.00048 
 0.750   175.00      0.00832   0.00098   0.00043 
 0.750   230.00      0.00798   0.00130   0.00028 
