    x              Q2             F2      err_stat     err_sys
    0.20          1.0            0.297       0.009      0.007
    0.20          1.5            0.299       0.009      0.008
    0.20          2.5            0.291       0.016      0.010
    0.20          5.0            0.303       0.021      0.016
    0.35          1.5            0.232       0.010      0.008
    0.35          2.5            0.219       0.008      0.007
    0.35          5.0            0.208       0.011      0.009
    0.50          2.5            0.141       0.006      0.005
    0.50          5.0            0.117       0.007      0.007
    0.50          7.5            0.110       0.019      0.011
    0.50         10.0            0.102       0.015      0.013
