     x           Q2           F2D            stat      sys
   0.0700        1.770        0.3297        0.0074     0.0092 
   0.0700        2.490        0.3411        0.0042     0.0056 
   0.0700        3.460        0.3602        0.0042     0.0042 
   0.0700        4.450        0.3555        0.0049     0.0038 
   0.0700        5.440        0.3649        0.0066     0.0040 
   0.0700        6.860        0.3706        0.0070     0.0040 
   0.0700        8.910        0.3655        0.0081     0.0045 
   0.0700       11.500        0.3808        0.0055     0.0048 
   0.0700       14.900        0.3866        0.0043     0.0064 
   0.0700       19.640        0.3826        0.0041     0.0089 
   0.0700       25.560        0.4119        0.0087     0.0137 
   0.0900        1.380        0.3322        0.0198     0.0187 
   0.0900        1.760        0.3282        0.0097     0.0122 
   0.0900        2.480        0.3445        0.0055     0.0073 
   0.0900        3.470        0.3423        0.0049     0.0048 
   0.0900        4.450        0.3584        0.0057     0.0045 
   0.0900        5.460        0.3645        0.0071     0.0044 
   0.0900        6.800        0.3610        0.0067     0.0045 
   0.0900        8.880        0.3733        0.0092     0.0048 
   0.0900       11.550        0.3618        0.0068     0.0041 
   0.0900       14.910        0.3665        0.0053     0.0044 
   0.0900       19.790        0.3665        0.0044     0.0062 
   0.0900       26.060        0.3777        0.0056     0.0092 
   0.1100        1.780        0.3274        0.0119     0.0149 
   0.1100        2.500        0.3363        0.0066     0.0089 
   0.1100        3.470        0.3444        0.0060     0.0057 
   0.1100        4.460        0.3422        0.0063     0.0047 
   0.1100        5.470        0.3413        0.0074     0.0045 
   0.1100        6.800        0.3445        0.0069     0.0046 
   0.1100        8.930        0.3386        0.0093     0.0049 
   0.1100       11.460        0.3442        0.0076     0.0044 
   0.1100       14.910        0.3578        0.0064     0.0046 
   0.1100       19.800        0.3558        0.0050     0.0047 
   0.1100       26.360        0.3525        0.0054     0.0066 
   0.1100       34.470        0.3801        0.0108     0.0098 
   0.1400        1.860        0.3536        0.0201     0.0185 
   0.1400        2.480        0.3345        0.0061     0.0113 
   0.1400        3.480        0.3337        0.0051     0.0070 
   0.1400        4.460        0.3236        0.0050     0.0051 
   0.1400        5.470        0.3301        0.0059     0.0046 
   0.1400        6.830        0.3245        0.0051     0.0044 
   0.1400        8.930        0.3368        0.0081     0.0050 
