   x     Q2         F2d       stat   sys
0.9595	 0.825     0.2484   0.0045  0.0130
0.9685	 0.825     0.2579   0.0048  0.0138
0.9775	 0.825     0.2678   0.0049  0.0143
0.9865	 0.825     0.2752   0.0052  0.0147
0.9955	 0.825     0.2720   0.0051  0.0144
1.0045	 0.825     0.2673   0.0051  0.0142
1.0135	 0.825     0.2406   0.0047  0.0126
1.0225	 0.825     0.2442   0.0047  0.0129
1.0315	 0.825     0.2360   0.0046  0.0123
1.0405	 0.825     0.2109   0.0043  0.0110
1.0495	 0.825     0.2111   0.0043  0.0110
1.0585	 0.825     0.1799   0.0038  0.0094
1.0675	 0.825     0.1737   0.0037  0.0090
1.0765	 0.825     0.1462   0.0033  0.0075
1.0855	 0.825     0.1331   0.0030  0.0068
1.0945	 0.825     0.1277   0.0030  0.0066
1.1035	 0.825     0.1109   0.0027  0.0056
1.1125	 0.825     0.09912   0.00258  0.00502
1.1215	 0.825     0.09580   0.00256  0.00486
1.1305	 0.825     0.09343   0.00255  0.00477
1.1395	 0.825     0.07492   0.00209  0.00377
1.1485	 0.825     0.06475   0.00202  0.00325
1.1575	 0.825     0.06861   0.00229  0.00350
1.1665	 0.825     0.05704   0.00191  0.00289
1.1755	 0.825     0.04912   0.00169  0.00247
1.1845	 0.825     0.04992   0.00177  0.00251
1.1935	 0.825     0.03669   0.00159  0.00183
1.2025	 0.825     0.03571   0.00153  0.00179
1.2115	 0.825     0.03607   0.00156  0.00182
1.2205	 0.825     0.03245   0.00141  0.00165
1.2295	 0.825     0.02750   0.00137  0.00137
1.2385	 0.825     0.02526   0.00130  0.00126
1.2475	 0.825     0.02514   0.00133  0.00126
1.2565	 0.825     0.02283   0.00135  0.00114
1.2655	 0.825     0.02294   0.00123  0.00115
1.2745	 0.825     0.02270   0.00127  0.00114
1.2835	 0.825     0.02214   0.00133  0.00110
1.2925	 0.825     0.02297   0.00133  0.00114
1.3015	 0.825     0.01819   0.00117  0.00091
1.3105	 0.825     0.01607   0.00112  0.00080
1.3195	 0.825     0.01398   0.00104  0.00071
1.3285	 0.825     0.01355   0.00095  0.00067
1.3375	 0.825     0.01304   0.00111  0.00066
1.3465	 0.825     0.01404   0.00098  0.00071
1.3555	 0.825     0.01048   0.00093  0.00052
1.3645	 0.825     0.01311   0.00116  0.00065
1.3735	 0.825     0.01105   0.00105  0.00055
1.3825	 0.825     0.01219   0.00102  0.00062
1.3915	 0.825     0.008463  0.00084   0.000421
1.4005	 0.825     0.01033   0.00092   0.00052
1.4095	 0.825     0.008845  0.00084   0.000449
1.4185	 0.825     0.01040   0.00085   0.00051
1.4365	 0.825     0.007883   0.000846   0.000394
1.4545	 0.825     0.006593   0.000841   0.000342
1.4635	 0.825     0.008937   0.001038   0.000461
1.4725	 0.825     0.006045   0.000984   0.000303
1.4815	 0.825     0.004011   0.000618   0.000197
1.4905	 0.825     0.005799   0.000683   0.000284
1.4995	 0.825     0.005074   0.000677   0.000258
1.5085	 0.825     0.004728   0.000598   0.000234
1.5265	 0.825     0.004348   0.000622   0.000218
