   x     Q2         F2d       stat   sys
0.2395  0.825      0.2649   0.0010  0.0139
0.2485  0.825      0.2580   0.0011  0.0135
0.2575  0.825      0.2502   0.0011  0.0130
0.2665  0.825      0.2531   0.0012  0.0131
0.2755  0.825      0.2618   0.0014  0.0136
0.2845  0.825      0.2555   0.0015  0.0133
0.2935  0.825      0.2557   0.0015  0.0133
0.3025  0.825      0.2523   0.0016  0.0131
0.3115  0.825      0.2384   0.0016  0.0124
0.3205  0.825      0.2331   0.0016  0.0121
0.3295  0.825      0.2227   0.0016  0.0116
0.3385  0.825      0.2226   0.0015  0.0115
0.3475	 0.825     0.2310   0.0016  0.0120
0.3565	 0.825     0.2321   0.0016  0.0121
0.3655	 0.825     0.2349   0.0016  0.0122
0.3745	 0.825     0.2228   0.0016  0.0116
0.3835	 0.825     0.2125   0.0016  0.0110
0.3925	 0.825     0.1943   0.0016  0.0101
0.4015	 0.825     0.1835   0.0016  0.0096
0.4105	 0.825     0.1736   0.0016  0.0090
0.4195	 0.825     0.1718   0.0016  0.0089
0.4285	 0.825     0.1737   0.0017  0.0091
0.4375	 0.825     0.1616   0.0016  0.0084
0.4465	 0.825     0.1669   0.0017  0.0088
0.4555	 0.825     0.1603   0.0017  0.0084
0.4645	 0.825     0.1552   0.0017  0.0081
0.4735	 0.825     0.1659   0.0018  0.0087
0.4825	 0.825     0.1663   0.0018  0.0088
0.4915	 0.825     0.1673   0.0018  0.0088
0.5005	 0.825     0.1825   0.0019  0.0096
0.5095	 0.825     0.1743   0.0019  0.0091
0.5185	 0.825     0.1868   0.0020  0.0098
0.5275	 0.825     0.1890   0.0020  0.0098
0.5365	 0.825     0.1860   0.0020  0.0097
0.5455	 0.825     0.1919   0.0021  0.0100
0.5545	 0.825     0.1980   0.0021  0.0103
0.5635	 0.825     0.2056   0.0023  0.0108
0.5725	 0.825     0.2003   0.0023  0.0104
0.5815	 0.825     0.1953   0.0023  0.0102
0.5905	 0.825     0.1780   0.0022  0.0093
0.5995	 0.825     0.1618   0.0020  0.0084
0.6085	 0.825     0.1580   0.0020  0.0082
0.6175	 0.825     0.1372   0.0019  0.0071
0.6265	 0.825     0.1241   0.0018  0.0064
0.6355	 0.825     0.1118   0.0017  0.0057
0.6445	 0.825     0.1023   0.0016  0.0052
0.6535	 0.825     0.09330   0.00157  0.00480
0.6625	 0.825     0.07989   0.00140  0.00407
0.6715	 0.825     0.07597   0.00142  0.00388
0.6805	 0.825     0.06734   0.00132  0.00345
0.6895	 0.825     0.06822   0.00136  0.00351
0.6985	 0.825     0.05697   0.00124  0.00292
0.7075	 0.825     0.05763   0.00128  0.00299
0.7165	 0.825     0.05291   0.00115  0.00270
0.7255	 0.825     0.05068   0.00115  0.00259
0.7345	 0.825     0.04598   0.00110  0.00234
0.7435	 0.825     0.04773   0.00116  0.00244
0.7525	 0.825     0.04845   0.00118  0.00246
0.7615	 0.825     0.05089   0.00125  0.00258
0.7705	 0.825     0.05543   0.00131  0.00282
0.7795	 0.825     0.05364   0.00127  0.00273
0.7885	 0.825     0.05483   0.00132  0.00280
0.7975	 0.825     0.05775   0.00136  0.00296
0.8065	 0.825     0.06781   0.00154  0.00348
0.8155	 0.825     0.06411   0.00151  0.00331
0.8245	 0.825     0.06775   0.00153  0.00347
0.8335	 0.825     0.08080   0.00176  0.00416
0.8425	 0.825     0.08359   0.00177  0.00428
0.8515	 0.825     0.09121   0.00187  0.00472
0.8605	 0.825     0.09965   0.00206  0.00515
0.8695	 0.825     0.1030   0.0021  0.0053
0.8785	 0.825     0.1142   0.0022  0.0059
0.8875	 0.825     0.1307   0.0025  0.0068
0.8965	 0.825     0.1477   0.0028  0.0078
0.9055	 0.825     0.1654   0.0031  0.0086
0.9145	 0.825     0.1682   0.0032  0.0088
0.9235	 0.825     0.1842   0.0034  0.0097
0.9325	 0.825     0.2136   0.0038  0.0112
0.9415	 0.825     0.2274   0.0040  0.0120
0.9505	 0.825     0.2240   0.0041  0.0118
