  x    Q2      F_2     stat syst 
.275  0.905  .26169   .023 .011 
.223  0.869  .27658   .023 .011 
.176  0.824  .28495   .022 .011 
.153  0.794  .28688   .023 .011 
.119  0.737  .28484   .025 .013 
.090  0.666  .27439   .025 .013 
.067  0.586  .25588   .024 .015 
.417  1.685  .19828   .020 .009 
.365  1.647  .22649   .020 .009 
.314  1.601  .24937   .021 .009 
.271  1.552  .26875   .021 .009 
.209  1.455  .29341   .026 .009 
.168  1.363  .30559   .026 .008 
.132  1.256  .30726   .026 .009 
.104  1.141  .30117   .025 .010 
.081  1.019  .30495   .025 .014 
.503  2.377  .14116   .020 .012 
.450  2.334  .16714   .020 .011 
.397  2.282  .19747   .020 .010 
.348  2.222  .22336   .020 .010 
.283  2.119  .25459   .023 .010 
.226  1.995  .29103   .024 .009 
.185  1.872  .30606   .025 .009 
.150  1.738  .31390   .025 .008 
.122  1.594  .31621   .025 .008 
.098  1.440  .32056   .025 .010 
.077  1.275  .31897   .025 .013 
.063  1.136  .30884   .025 .017 
.597  3.501  .08659   .026 .020 
.542  3.445  .10926   .022 .017 
.490  3.383  .13666   .020 .016 
.442  3.314  .16153   .020 .014 
.372  3.191  .20132   .023 .013 
.309  3.047  .24340   .025 .012 
.239  2.819  .28035   .023 .011 
.183  2.569  .30387   .025 .010 
.152  2.382  .32340   .025 .009 
.126  2.188  .32423   .024 .009 
.107  2.017  .32854   .025 .009 
.090  1.845  .32732   .025 .010 
.075  1.658  .33283   .025 .013 
.322  1.105  .24564   .022 .013 
.269  1.052  .26365   .022 .014 
.240  1.016  .27708   .026 .014 
.177  0.912  .29002   .025 .015 
.127  0.791  .29122   .025 .015 
.089  0.657  .27477   .024 .018 
.453  1.870  .16718   .028 .011 
.347  1.741  .22877   .026 .012 
.214  1.469  .28851   .027 .013 
.120  1.115  .29981   .029 .016 
.539  2.762  .11804   .020 .009 
.489  2.693  .14083   .020 .009 
.440  2.616  .16938   .020 .009 
.374  2.489  .20880   .024 .009 
.297  2.297  .25065   .025 .011 
.237  2.098  .28499   .025 .012 
.187  1.880  .30281   .025 .013 
.144  1.644  .30853   .026 .014 
.108  1.388  .31810   .026 .017 
.077  1.114  .30769   .026 .025 
.639  4.149  .06569   .025 .013 
.580  4.044  .08822   .027 .011 
.553  3.991  .09860   .060 .010 
.471  3.804  .14484   .024 .008 
.398  3.594  .18620   .024 .008 
.332  3.357  .22480   .024 .008 
.273  3.092  .26331   .025 .009 
.224  2.819  .28982   .025 .012 
.179  2.509  .30440   .026 .014 
.142  2.189  .32172   .026 .015 
.108  1.834  .32934   .025 .016 
.084  1.542  .31463   .026 .022 
.692  5.180  .04257   .037 .018 
.601  4.981  .07687   .030 .012 
