  x    Q2      F_2     stat syst 
.532  4.800  .10404   .025 .010 
.454  4.553  .15011   .025 .008 
.387  4.294  .18893   .026 .008 
.328  4.014  .23263   .026 .008 
.274  3.699  .25541   .027 .009 
.227  3.373  .29471   .027 .010 
.185  3.013  .31060   .027 .014 
.147  2.631  .32128   .027 .017 
.120  2.305  .32609   .028 .018 
.096  1.968  .32755   .028 .020 
.746  6.879  .02488   .060 .024 
.690  6.729  .03601   .043 .018 
.662  6.647  .03998   .207 .016 
.599  6.441  .06929   .030 .013 
.528  6.174  .09901   .028 .010 
.465  5.894  .13584   .026 .009 
.404  5.569  .17504   .026 .008 
.347  5.215  .21421   .026 .008 
.297  4.845  .24817   .026 .009 
.251  4.446  .27297   .027 .010 
.208  4.003  .30075   .027 .012 
.178  3.649  .31109   .027 .015 
.150  3.265  .32923   .027 .018 
.122  2.851  .33957   .027 .021 
.099  2.438  .32544   .031 .023 
.077  2.009  .33899   .033 .024 
.771  8.088  .01722   .053 .028 
.711  7.897  .03007   .035 .020 
.645  7.656  .04830   .027 .016 
.571  7.348  .07487   .024 .012 
.508  7.037  .10573   .024 .010 
.447  6.691  .14195   .024 .009 
.393  6.328  .17369   .024 .009 
.341  5.931  .21250   .025 .009 
.293  5.498  .23816   .025 .009 
.248  5.032  .27059   .025 .010 
.215  4.634  .29281   .025 .012 
.185  4.219  .33241   .025 .014 
.157  3.804  .31528   .026 .018 
.131  3.355  .33682   .026 .022 
.107  2.888  .33953   .025 .026 
.083  2.386  .34020   .027 .026 
.337  1.171  .23992   .010 .008 
.293  1.102  .25780   .009 .008 
.260  1.043  .27062   .010 .008 
.235  0.994  .28224   .013 .009 
.188  0.884  .28951   .013 .010 
.150  0.773  .28935   .013 .012 
.118  0.663  .27724   .014 .017 
.522  2.515  .13430   .011 .009 
.485  2.443  .14551   .013 .009 
.408  2.266  .18854   .012 .008 
.355  2.121  .22154   .012 .008 
.298  1.941  .25071   .012 .008 
.243  1.732  .28623   .013 .008 
.203  1.553  .29074   .013 .009 
.178  1.428  .29943   .013 .010 
.157  1.312  .29968   .013 .011 
.102  0.958  .30479   .017 .023 
.742  6.115  .02987   .028 .021 
.673  5.862  .04484   .028 .018 
.610  5.605  .06624   .028 .016 
.555  5.352  .09108   .022 .014 
.484  4.986  .12631   .016 .013 
.402  4.501  .18000   .013 .012 
.344  4.103  .21413   .013 .011 
.302  3.780  .24059   .013 .011 
.268  3.501  .26184   .014 .012 
.241  3.254  .27734   .017 .013 
.212  2.973  .29320   .013 .015 
.190  2.740  .30260   .016 .017 
.172  2.546  .29612   .021 .019 
.156  2.362  .31049   .019 .019 
.141  2.178  .28484   .032 .019 
.129  2.036  .31055   .023 .018 
.113  1.827  .31733   .028 .017 
.091  1.526  .31502   .036 .025 
.586  7.263  .07075   .018 .018 
.428  6.075  .15953   .019 .014 
.321  5.061  .22346   .020 .013 
.236  4.070  .27646   .013 .015 
.201  3.615  .29223   .020 .018 
.179  3.302  .30751   .020 .021 
.157  2.982  .31325   .022 .024 
.143  2.762  .32410   .023 .025 
.130  2.542  .32427   .026 .025 
.116  2.316  .32237   .026 .023 
.106  2.144  .32600   .039 .022 
.096  1.971  .31347   .037 .022 
.080  1.665  .31135   .031 .028 
.771  9.147  .01654   .043 .026 
.664  8.494  .03989   .027 .021 
.541  7.607  .09208   .016 .017 
.472  7.026  .12826   .013 .016 
.401  6.359  .17389   .014 .015 
.337  5.674  .21258   .013 .014 
.290  5.118  .24282   .013 .014 
.257  4.696  .26508   .015 .015 
.233  4.370  .28058   .018 .016 
.204  3.938  .28755   .017 .018 
.177  3.526  .30659   .017 .022 
.161  3.267  .31355   .026 .024 
.146  3.021  .32391   .026 .027 
.121  2.572  .31510   .021 .027 
.108  2.334  .31224   .035 .025 
.098  2.146  .33653   .028 .023 
.088  1.960  .34305   .060 .025 
.789 13.363  .01109   .023 .031 
.701 12.528  .02540   .020 .027 
.621 11.693  .04778   .018 .024 
.550 10.858  .07912   .017 .022 
.469  9.809  .11818   .015 .020 
.416  9.060  .15510   .015 .019 
.357  8.144  .18871   .016 .018 
.309  7.322  .22910   .015 .018 
.273  6.682  .25525   .020 .018 
.251  6.264  .27307   .021 .018 
.224  5.718  .28020   .017 .019 
.196  5.138  .29499   .017 .020 
.171  4.594  .30598   .023 .023 
.153  4.176  .30569   .029 .027 
.134  3.718  .31930   .031 .032 
.118  3.341  .33828   .036 .036 
.105  3.012  .32457   .032 .037 
.086  2.506  .30691   .081 .033 
.464  2.009  .16474   .017 .010 
.388  1.826  .20648   .017 .010 
.324  1.644  .24248   .018 .010 
.268  1.461  .27170   .018 .011 
.219  1.278  .29112   .015 .012 
.177  1.096  .29873   .018 .014 
.139  0.913  .29939   .022 .020 
.586  4.080  .08777   .020 .010 
.503  3.740  .12484   .020 .010 
.415  3.323  .17547   .016 .010 
.366  3.060  .20373   .021 .011 
.319  2.788  .23154   .016 .012 
.284  2.570  .26006   .019 .013 
.256  2.380  .27395   .019 .014 
.233  2.218  .28275   .022 .015 
.209  2.040  .29619   .021 .016 
.188  1.878  .30564   .025 .017 
.156  1.618  .30534   .040 .017 
.127  1.360  .33379   .046 .021 
.711  6.623  .03213   .026 .014 
.632  6.183  .05681   .020 .012 
.560  5.742  .08669   .019 .012 
.494  5.299  .12228   .018 .012 
.434  4.857  .15949   .018 .013 
.367  4.315  .20483   .015 .013 
.332  4.011  .21237   .021 .014 
.306  3.777  .22922   .026 .015 
.281  3.535  .22980   .024 .016 
.259  3.319  .27865   .027 .017 
.237  3.095  .28473   .024 .018 
.196  2.650  .31908   .033 .022 
.158  2.211  .32360   .048 .023 
.781 10.849  .01408   .030 .021 
.714 10.246  .02508   .031 .018 
.651  9.646  .04339   .025 .017 
.591  9.043  .06557   .027 .017 
.535  8.440  .08953   .019 .016 
.483  7.837  .12027   .019 .017 
.433  7.234  .15205   .020 .017 
.386  6.631  .18068   .020 .017 
.342  6.029  .21564   .019 .018 
.290  5.281  .23598   .021 .019 
.260  4.823  .26760   .031 .020 
.210  4.027  .29898   .047 .023 
.872 15.981  .00358   .079 .040 
.809 15.220  .00684   .075 .028 
.750 14.459  .01490   .039 .024 
.694 13.698  .02643   .030 .023 
.640 12.937  .04096   .025 .022 
.589 12.176  .06119   .025 .021 
.540 11.415  .08450   .025 .021 
.493 10.654  .10329   .020 .021 
.448  9.893  .13534   .022 .021 
.405  9.132  .16269   .023 .021 
.364  8.371  .19032   .023 .021 
.314  7.407  .21906   .019 .021 
.286  6.849  .23546   .029 .022 
.249  6.088  .26225   .031 .023 
.214  5.327  .29214   .028 .024 
.854 20.078  .00389   .071 .040 
.799 19.165  .00782   .058 .032 
.746 18.252  .01462   .040 .028 
.669 16.835  .02861   .025 .026 
.599 15.504  .05164   .028 .025 
.554 14.591  .06913   .026 .025 
.510 13.681  .09136   .029 .024 
.468 12.761  .11742   .026 .024 
.428 11.862  .14188   .025 .024 
.389 10.960  .16544   .024 .024 
.349 10.021  .18324   .027 .024 
.313  9.133  .20998   .031 .024 
.278  8.220  .24324   .033 .024 
.243  7.306  .25969   .057 .025 
.547  2.772  .11976   .020 .012 
.453  2.464  .16391   .020 .013 
.370  2.156  .21573   .028 .013 
.298  1.848  .25601   .022 .014 
.234  1.540  .29547   .024 .015 
.670  4.471  .05279   .021 .013 
.556  3.974  .09932   .020 .012 
.457  3.477  .15637   .019 .013 
.369  2.980  .20615   .021 .014 
.290  2.484  .25598   .020 .016 
.220  1.987  .28439   .068 .019 
.768  7.443  .01945   .038 .017 
.666  6.767  .04712   .026 .015 
.573  6.090  .07901   .022 .015 
.488  5.413  .12061   .023 .016 
.410  4.739  .17062   .027 .017 
.332  4.006  .23595   .031 .018 
.781 10.277  .01447   .079 .022 
.691  9.421  .02931   .055 .019 
.607  8.565  .05187   .036 .019 
.529  7.708  .09723   .032 .019 
.456  6.852  .13160   .029 .019 
.387  5.995  .17837   .030 .020 
.322  5.139  .23487   .027 .021 
.800 13.918  .00930   .100 .029 
.719 12.847  .02249   .058 .025 
.642 11.777  .04124   .040 .024 
.569 10.706  .06756   .036 .023 
.500  9.635  .10424   .030 .023 
.434  8.565  .14486   .030 .023 
.371  7.494  .17927   .032 .023 
.756 16.691  .01406   .078 .030 
.683 15.407  .02805   .048 .028 
.614 14.123  .05140   .039 .027 
.547 12.839  .07380   .042 .027 
.482 11.555  .11222   .041 .026 
.421 10.271  .13956   .057 .026 
.427  1.738  .18926   .018 .010 
.376  1.713  .21492   .018 .010 
.328  1.683  .24029   .018 .011 
.279  1.643  .26327   .018 .011 
.236  1.598  .28471   .018 .011 
.174  1.500  .30610   .018 .011 
.124  1.376  .31588   .019 .011 
.102  1.292  .31483   .019 .010 
.084  1.203  .31545   .019 .011 
.068  1.107  .30863   .019 .012 
.373  1.404  .22184   .019 .010 
.322  1.379  .24724   .018 .011 
.273  1.348  .26857   .018 .011 
.221  1.303  .28684   .018 .011 
.172  1.240  .30402   .018 .011 
.124  1.147  .30688   .019 .011 
.100  1.077  .30458   .018 .011 
.081  1.002  .30117   .018 .012 
.065  0.921  .29690   .018 .012 
.316  1.102  .24908   .019 .012 
.266  1.078  .26978   .019 .012 
.217  1.046  .28434   .018 .012 
.167  0.997  .29660   .018 .012 
.124  0.934  .30382   .019 .012 
.097  0.874  .29153   .020 .012 
.077  0.811  .29345   .019 .012 
.228  0.716  .27537   .019 .014 
.181  0.692  .28396   .019 .014 
.136  0.658  .27988   .019 .013 
.102  0.617  .27367   .019 .014 
.080  0.579  .26434   .018 .014 
.747 11.768  .01789   .033 .021 
.702 11.428  .02624   .019 .019 
.649 10.989  .04186   .015 .017 
.603 10.590  .05587   .013 .016 
.551 10.095  .07807   .016 .016 
.498  9.542  .10505   .017 .016 
.449  8.984  .13494   .017 .016 
.406  8.457  .15733   .017 .016 
.368  7.942  .18531   .017 .016 
.335  7.469  .21028   .014 .017 
.313  7.144  .21843   .023 .017 
.785  9.047  .01473   .021 .024 
.736  8.807  .02261   .018 .020 
.682  8.520  .03494   .018 .017 
.629  8.214  .05192   .020 .016 
.577  7.884  .07308   .019 .015 
.525  7.521  .09731   .018 .014 
.474  7.128  .12487   .014 .014 
.430  6.761  .15096   .013 .014 
.382  6.317  .18218   .014 .015 
.352  6.018  .19458   .021 .015 
.729  6.553  .02887   .021 .019 
.679  6.374  .04123   .018 .017 
.625  6.160  .05983   .018 .015 
.568  5.911  .08168   .019 .014 
.513  5.640  .11106   .018 .014 
.459  5.348  .13976   .018 .013 
.416  5.084  .16406   .020 .014 
.384  4.877  .18520   .100 .014 
.645  4.355  .06203   .014 .015 
.596  4.229  .08025   .013 .014 
.543  4.080  .10099   .012 .013 
.506  3.963  .12097   .023 .013 
.869 18.647  .00309   .028 .038 
.824 18.091  .00575   .022 .029 
.770 17.373  .01133   .021 .024 
.720 16.671  .01936   .020 .022 
.668 15.912  .03021   .019 .022 
.616 15.105  .04536   .018 .021 
.564 14.243  .06665   .018 .021 
.516 13.405  .08802   .018 .021 
.471 12.573  .11505   .018 .021 
.436 11.895  .13467   .022 .021 
.412 11.412  .13544   .090 .021 
.855 15.908  .00451   .026 .033 
.808 15.411  .00779   .022 .026 
.753 14.800  .01437   .021 .022 
.701 14.192  .02381   .019 .021 
.650 13.549  .03790   .018 .020 
.599 12.875  .05564   .018 .019 
.546 12.129  .07810   .017 .019 
.492 11.304  .10675   .015 .019 
.456 10.740  .12548   .011 .019 
.432 10.338  .13210   .031 .020 
.820 11.886  .00813   .029 .026 
.774 11.540  .01336   .021 .022 
.723 11.123  .02138   .021 .019 
.669 10.650  .03507   .019 .018 
.617 10.164  .05140   .020 .017 
.566  9.651  .07306   .018 .017 
.514  9.101  .09607   .018 .017 
.479  8.703  .11702   .043 .017 
.779  8.810  .01602   .021 .021 
.727  8.515  .02522   .020 .018 
.671  8.175  .03918   .017 .017 
.621  7.845  .05529   .015 .016 
.573  7.503  .07611   .019 .015 
.536  7.229  .09342   .056 .015 
.877 20.427  .00257   .031 .046 
.833 19.705  .00506   .024 .036 
.780 18.814  .01007   .023 .030 
.731 17.951  .01642   .024 .028 
.675 16.935  .02838   .021 .027 
.617 15.832  .04445   .020 .027 
.566 14.806  .06536   .022 .026 
.522 13.911  .08346   .022 .026 
.480 13.018  .11241   .023 .026 
.460 12.579  .10963   .045 .026 
.851 15.698  .00471   .026 .035 
.803 15.108  .00846   .020 .028 
.752 14.458  .01447   .019 .025 
.696 13.696  .02486   .022 .024 
.641 12.926  .04035   .019 .023 
.587 12.133  .06067   .018 .023 
.538 11.371  .08075   .020 .023 
.492 10.616  .10780   .023 .023 
.811 11.076  .00910   .026 .025 
.770 10.720  .01435   .027 .022 
.712 10.208  .02696   .022 .020 
.649  9.608  .04170   .020 .019 
.590  9.007  .06656   .019 .019 
.534  8.404  .08776   .021 .019 
.735  6.725  .02715   .017 .017 
.686  6.470  .03877   .020 .016 
.636  6.187  .05408   .021 .016 
.599  5.970  .06790   .093 .016 
.831 17.948  .00519   .044 .039 
.756 16.666  .01258   .030 .032 
.683 15.384  .02732   .025 .030 
.613 14.102  .04968   .025 .029 
.546 12.820  .07587   .027 .028 
.800 13.883  .00916   .028 .030 
.719 12.815  .02139   .025 .027 
.642 11.747  .04113   .024 .026 
.569 10.679  .07079   .024 .025 
.781 10.252  .01376   .027 .024 
.691  9.398  .03148   .023 .022 
.607  8.543  .05926   .025 .021 
.529  7.689  .09134   .029 .021 
.896 30.202  .00125   .054 .092 
.845 28.611  .00301   .036 .075 
.786 26.728  .00738   .030 .065 
.726 24.839  .01509   .034 .064 
.668 22.969  .02877   .030 .066 
.620 21.402  .04418   .036 .071 
.584 20.245  .05123   .076 .076 
.884 24.041  .00187   .043 .082 
.838 22.921  .00382   .039 .068 
.784 21.562  .00799   .036 .061 
.726 20.094  .01666   .030 .061 
.674 18.756  .02709   .031 .064 
.634 17.709  .03794   .035 .068 
.595 16.706  .04776   .111 .074 
.874 19.394  .00249   .045 .072 
.826 18.449  .00553   .035 .058 
.775 17.410  .00981   .035 .051 
.723 16.350  .01865   .036 .049 
.672 15.304  .02989   .035 .049 
.629 14.397  .04365   .040 .050 
.587 13.522  .06120   .068 .053 
.552 12.777  .07723   .136 .060 
.843 14.279  .00539   .050 .056 
.792 13.526  .01009   .037 .047 
.736 12.683  .01830   .037 .044 
.682 11.851  .02856   .035 .043 
.634 11.103  .04432   .035 .043 
.591 10.415  .05977   .039 .044 
.545  9.688  .08297   .046 .048 
.509  9.093  .11166   .097 .057 
.760  7.598  .02022   .025 .037 
.704  7.136  .03186   .024 .036 
.656  6.722  .04587   .022 .036 
.611  6.335  .06529   .026 .036 
.566  5.930  .08729   .034 .037 
.536  5.660  .11410   .089 .039 
.709 23.679  .01647   .066 .055 
.658 22.109  .02871   .033 .053 
.610 20.633  .04705   .033 .053 
.567 19.287  .06299   .034 .054 
.523 17.886  .08460   .037 .056 
.477 16.388  .11887   .046 .060 
.435 15.019  .14209   .071 .068 
.727 19.508  .01760   .078 .051 
.676 18.264  .02606   .045 .050 
.620 16.885  .04277   .051 .050 
.574 15.736  .05828   .050 .051 
.526 14.522  .08814   .056 .054 
.469 13.071  .10382   .054 .061 
.432 12.103  .14880   .057 .069 
.405 11.394  .17450   .063 .078 
.377 10.663  .13958   .259 .090 
.738 16.349  .01628   .095 .047 
.694 15.487  .02232   .064 .045 
.647 14.563  .03819   .053 .044 
.596 13.527  .04956   .072 .043 
.548 12.540  .07337   .076 .043 
.503 11.612  .09804   .061 .043 
.464 10.780  .12169   .048 .044 
.429 10.028  .14002   .057 .048 
.403  9.464  .14535   .093 .054 
.727  7.504  .02264   .089 .035 
.681  7.119  .03957   .052 .035 
.624  6.640  .05834   .049 .035 
.569  6.155  .07728   .043 .035 
.524  5.747  .10183   .047 .035 
.483  5.366  .13064   .044 .035 
.444  4.997  .14647   .044 .035 
.401  4.575  .18064   .035 .037 
.361  4.176  .20339   .032 .040 
.330  3.861  .19349   .063 .048 
.418  1.680  .19871   .015 .009 
.365  1.642  .22101   .019 .009 
.324  1.606  .25624   .020 .009 
.213  1.457  .29728   .019 .009 
.134  1.256  .31228   .019 .013 
.082  1.019  .30991   .018 .014 
.063  0.887  .29733   .017 .017 
.518  2.376  .13772   .030 .012 
.447  2.320  .16654   .022 .011 
.404  2.278  .20217   .019 .010 
.344  2.206  .22951   .016 .010 
.281  2.105  .26723   .017 .010 
.229  1.993  .28748   .017 .010 
.187  1.869  .30441   .017 .009 
.152  1.736  .31341   .017 .009 
.123  1.592  .32021   .016 .008 
.078  1.272  .32173   .016 .027 
.599  3.500  .08376   .023 .019 
.548  3.449  .10729   .020 .016 
.494  3.385  .13479   .018 .014 
.440  3.310  .16256   .016 .013 
.372  3.189  .20748   .016 .012 
.313  3.055  .23888   .016 .011 
.240  2.819  .27728   .016 .011 
.185  2.576  .30271   .016 .010 
.153  2.391  .31699   .017 .010 
.127  2.193  .31864   .020 .009 
.103  1.983  .31993   .016 .009 
.083  1.759  .32291   .017 .027 
.066  1.523  .32904   .024 .029 
.744  7.309  .02351   .022 .020 
.702  7.140  .03315   .017 .017 
.658  6.951  .04631   .015 .016 
.616  6.757  .06039   .015 .015 
.536  6.341  .09485   .014 .014 
.426  5.648  .15620   .014 .013 
.353  5.090  .20751   .014 .014 
.263  4.252  .26252   .016 .012 
.174  3.198  .32521   .019 .019 
.801 10.111  .01159   .025 .024 
.758  9.877  .01777   .020 .019 
.692  9.482  .03156   .018 .017 
.607  8.912  .05809   .016 .015 
.529  8.314  .09192   .015 .014 
.421  7.332  .15508   .015 .015 
.350  6.558  .20257   .016 .015 
.262  5.416  .26358   .015 .014 
.174  4.018  .31258   .020 .022 
.820 13.907  .00715   .030 .027 
.787 13.638  .01058   .025 .022 
.749 13.318  .01618   .020 .019 
.675 12.643  .03212   .017 .015 
.596 11.844  .05539   .016 .016 
.521 10.978  .09095   .016 .016 
.415  9.576  .15350   .015 .016 
.517  2.496  .13225   .013 .010 
.485  2.434  .14811   .015 .009 
.422  2.292  .18422   .015 .009 
.326  2.028  .23636   .015 .010 
.243  1.727  .27725   .015 .010 
.173  1.395  .29081   .016 .012 
.718  6.030  .03218   .022 .017 
.656  5.791  .05073   .031 .015 
.615  5.623  .06637   .027 .014 
.544  5.303  .09462   .023 .014 
.432  4.693  .15752   .024 .010 
.358  4.208  .20882   .017 .011 
.267  3.488  .27048   .017 .013 
.176  2.598  .32001   .017 .021 
.787  9.203  .01355   .022 .022 
.747  8.979  .02039   .022 .019 
.690  8.633  .03251   .016 .017 
.609  8.098  .05678   .015 .015 
.533  7.521  .09380   .015 .015 
.424  6.571  .15461   .016 .015 
.353  5.836  .20593   .017 .013 
.264  4.773  .26323   .017 .015 
.176  3.500  .31086   .020 .024 
.819 12.407  .00749   .028 .026 
.762 11.954  .01472   .019 .021 
.678 11.236  .03146   .017 .018 
.599 10.475  .05695   .014 .017 
.523  9.656  .09077   .017 .017 
.417  8.349  .15482   .015 .017 
.347  7.355  .20231   .018 .016 
.259  5.941  .26316   .017 .017 
.172  4.290  .30726   .019 .025 
.861 17.063  .00335   .044 .035 
.807 16.462  .00739   .027 .026 
.742 15.706  .01585   .024 .022 
.670 14.778  .03062   .019 .020 
.592 13.694  .05559   .017 .019 
.517 12.547  .08881   .018 .019 
.413 10.743  .15396   .018 .020 
.343  9.391  .19687   .018 .018 
.257  7.502  .26197   .022 .020 
.171  5.350  .31063   .025 .026 
.860 19.104  .00333   .036 .036 
.806 18.353  .00703   .027 .028 
.740 17.398  .01483   .033 .024 
.700  5.000  .04069   .012 .008 
.300  2.000  .25124   .012 .006 
.400  2.000  .20279   .012 .006 
.500  5.000  .11827   .011 .008 
.220  2.000  .29570   .012 .007 
.300  5.000  .23763   .011 .014 
.130  2.000  .32583   .012 .011 
.400  5.000  .17643   .010 .008 
.500  5.000  .11816   .009 .007 
.600  5.000  .07286   .009 .007 
.700  5.000  .04089   .013 .010 
.089  2.000  .33247   .012 .017 
.300  5.000  .23802   .012 .009 
.700 10.000  .02790   .016 .011 
.800 10.001  .01125   .019 .015 
.220  5.000  .29082   .012 .014 
.500 10.000  .10235   .015 .012 
.600 10.000  .05794   .012 .010 
.400  9.999  .16113   .011 .013 
.600 14.999  .05106   .013 .016 
.140  5.000  .32716   .007 .021 
.300 10.001  .23158   .014 .016 
.200  1.000  .29131   .010 .009 
.200  1.000  .28724   .010 .007 
.200  1.000  .29081   .010 .007 
.200  1.000  .29246   .010 .005 
.200  1.000  .29533   .009 .005 
.200  1.500  .30401   .010 .009 
.200  1.500  .29620   .008 .007 
.200  1.500  .29847   .008 .006 
.200  1.500  .30097   .008 .005 
.200  1.500  .30146   .008 .005 
.200  2.500  .31311   .015 .019 
.200  2.500  .30273   .007 .011 
.200  2.500  .29964   .009 .008 
.200  5.000  .29168   .012 .021 
.200  5.000  .29355   .009 .017 
.200  5.001  .29346   .009 .014 
.200  5.000  .29647   .008 .013 
.350  1.500  .23096   .009 .007 
.350  1.500  .23041   .009 .007 
.350  1.500  .22922   .009 .006 
.350  1.500  .23232   .009 .005 
.350  1.500  .23249   .014 .005 
.350  2.500  .22430   .009 .008 
.350  2.500  .22132   .009 .007 
.350  2.500  .22055   .009 .006 
.350  2.500  .22310   .008 .005 
.350  2.500  .22028   .009 .005 
.350  5.000  .20817   .011 .014 
.350  5.000  .20729   .008 .010 
.350  5.000  .20917   .008 .008 
.350  5.000  .20747   .008 .007 
.500  2.500  .13995   .010 .012 
.500  2.501  .14095   .011 .009 
.500  2.500  .14082   .010 .006 
.500  2.500  .14209   .008 .005 
.500  2.500  .13956   .009 .005 
.500  5.001  .11734   .014 .014 
.500  5.001  .11796   .009 .010 
.500  5.001  .11868   .009 .007 
.500  5.000  .11696   .007 .005 
.500  7.500  .10687   .017 .018 
.500  7.500  .10928   .011 .008 
.500  9.999  .10344   .013 .021 
.500 10.001  .10272   .013 .016 
.500 10.000  .10241   .008 .010 
.492  7.220  .11552   .016 .009 
.432  5.680  .15229   .015 .007 
.419  8.391  .15306   .020 .013
