      x           Q2             F2          stat_err   sys_err
    0.650        22.21          0.04451     0.00093     0.00218  
    0.750         6.05          0.03503     0.00077     0.00056  
    0.750         6.66          0.03382     0.00047     0.00041  
    0.750         7.29          0.03166     0.00032     0.00054  
    0.750         8.04          0.02849     0.00048     0.00048  
    0.750         8.88          0.02798     0.00025     0.00036  
    0.750        10.24          0.02606     0.00034     0.00039  
    0.750        11.59          0.02397     0.00026     0.00034  
    0.750        13.08          0.02228     0.00025     0.00040  
    0.750        14.46          0.02065     0.00027     0.00039  
    0.750        15.71          0.02033     0.00055     0.00045  
    0.750        17.03          0.01862     0.00022     0.00045  
    0.750        18.42          0.01873     0.00036     0.00052  
    0.750        19.92          0.01588     0.00060     0.00084  
    0.750        21.58          0.01644     0.00064     0.00100  
    0.750        24.46          0.01550     0.00054     0.00085   
    0.750        26.69          0.01438     0.00049     0.00095   
    0.850        10.11          0.00854     0.00023     0.00045   
    0.850        11.07          0.00743     0.00025     0.00033   
    0.850        12.18          0.00680     0.00015     0.00022   
    0.850        13.97          0.00618     0.00014     0.00020   
    0.850        15.45          0.00578     0.00008     0.00016   
    0.850        16.61          0.00542     0.00015     0.00017   
    0.850        18.48          0.00481     0.00007     0.00015   
    0.850        19.95          0.00473     0.00012     0.00018   
    0.850        23.39          0.00375     0.00013     0.00028   
    0.850        29.17          0.00277     0.00011     0.00022  
