   x     Q2      F2    stat  sys    
 0.030   1.5    1.142  0.080  0.016 
 0.030   3.0    1.303  0.117  0.040 
 0.030   6.0    1.483  0.183  0.076 
 0.030  11.0    1.913  0.449  0.303                    
 0.080   1.5    1.310  0.102  0.016 
 0.080   3.0    1.236  0.098  0.009 
 0.080   6.0    1.272  0.113  0.026 
 0.080  11.0    1.446  0.199  0.082 
 0.080  24.0    2.400  0.570  0.209                  
 0.125   1.5    1.241  0.093  0.020 
 0.125   3.0    1.432  0.089  0.015 
 0.125   6.0    1.467  0.104  0.015 
 0.125  11.0    1.304  0.120  0.038 
 0.125  24.0    1.104  0.154  0.064 
 0.175   1.5    1.408  0.108  0.025 
 0.175   3.0    1.520  0.102  0.021 
 0.175   6.0    1.370  0.090  0.011 
 0.175  11.0    1.169  0.104  0.019 
 0.175  24.0    0.942  0.117  0.046 
 0.250   1.5    1.104  0.079  0.019          
 0.250   3.0    1.283  0.069  0.019 
 0.250   6.0    1.216  0.061  0.011 
 0.250  11.0    1.160  0.064  0.008 
 0.250  24.0    1.227  0.079  0.036 
 0.250  55.0    1.025  0.172  0.081 
 0.350   1.5    1.015  0.093  0.022 
 0.350   3.0    1.079  0.070  0.016 
 0.350   6.0    0.917  0.055  0.012 
 0.350  11.0    0.987  0.058  0.007 
 0.350  24.0    0.882  0.056  0.016 
 0.350  55.0    0.881  0.097  0.058 
 0.450   1.5    0.770  0.097  0.013                     
 0.450   3.0    0.667  0.061  0.008                     
 0.450   6.0    0.748  0.052  0.009           
 0.450  11.0    0.746  0.051  0.007           
 0.450  24.0    0.564  0.042  0.003           
 0.450  55.0    0.474  0.059  0.016           
 0.550   1.5    0.463  0.082  0.013                    
 0.550   3.0    0.482  0.058  0.008                    
 0.550   6.0    0.552  0.046  0.006 
 0.550  11.0    0.455  0.038  0.007 
 0.550  24.0    0.415  0.035  0.003 
 0.550  55.0    0.276  0.041  0.010 
 0.700   1.5    0.225  0.036  0.013                    
 0.700   3.0    0.191  0.022  0.007                    
 0.700   6.0    0.177  0.018  0.003 
 0.700  11.0    0.156  0.016  0.004 
 0.700  24.0    0.143  0.015  0.001 
 0.700  55.0    0.107  0.017  0.003 
