# --> Note: Accpetance Cuts, Zhihong Ye -- 08/30/2012
# Mom  KIN       TARGET    X_FP    Y_FP    Th_FP    Ph_FP    Dp_TG    Y_TG      Th_TG    Ph_TG    RctPt_Z 
2.905  3.1         H2     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.905  3.1        He3     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.905  3.1        He4     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.905  3.1        C12     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.905  3.1       Ca40     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.905  3.1       Ca48     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.905  3.1  Dummy         1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.905  3.1       Al27     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.055  3.2        He3     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.055  3.2        He4     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.055  3.2        C12     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
3.055  3.2       Ca40     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
3.055  3.2       Ca48     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
3.055  3.2  Dummy         1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.055  3.2       Al27     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.855  4.1        He3     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.855  4.1        C12     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.855  4.1       Ca40     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.855  4.1       Ca48     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.855  4.1  Dummy10cm     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.855  4.1  Dummy         1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.855  4.1       Al27     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.035  4.2        He3     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.035  4.2        He4     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.035  4.2        C12     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
3.035  4.2       Ca40     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
3.035  4.2       Ca48     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
3.035  4.2  Dummy04cm     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.035  4.2  Dummy10cm     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.035  4.2  Dummy         1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
3.035  4.2       Al27     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.505  5.0        H2      1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.505  5.0       He3      1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.505  5.0       He4      1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.505  5.0       C12      1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.505  5.0      Ca40      1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.505  5.0      Ca48      1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.505  5.0 Dummy          1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.505  5.0       Al27     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.650  5.05       He3     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.650  5.05       C12     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.650  5.05      Ca40     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.650  5.05      Ca48     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.025
2.650  5.05 Dummy         1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.650  5.05      Al27     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.795  5.1         H2     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
2.795  5.1        He3     1.00    0.95     0.50    0.090     0.0701   0.091     0.0402     0.020     0.070
