            VZ   Slop/Const
   -0.11800000  -0.00286724
   -0.11400000  -0.00286724
   -0.11000000  -0.00286724
   -0.10600000  -0.00286724
   -0.10200000  -0.00286724
   -0.09800000  -0.00286724
   -0.09400000  -0.00286724
   -0.09000000  -0.00286724
   -0.08600000  -0.00286724
   -0.08200000  -0.00286724
   -0.07800000  -0.00286724
   -0.07400000  -0.00286724
   -0.07000000  -0.00299395
   -0.06600000  -0.00312672
   -0.06200000  -0.00328072
   -0.05800000  -0.00305457
   -0.05400000  -0.00299718
   -0.05000000  -0.00285650
   -0.04600000  -0.00275069
   -0.04200000  -0.00256033
   -0.03800000  -0.00261845
   -0.03400000  -0.00306452
   -0.03000000  -0.00340503
   -0.02600000  -0.00384931
   -0.02200000  -0.00471924
   -0.01800000  -0.00540822
   -0.01400000  -0.00549993
   -0.01000000  -0.00571563
   -0.00600000  -0.00594227
   -0.00200000  -0.00604565
    0.00200000  -0.00577819
    0.00600000  -0.00564455
    0.01000000  -0.00585910
    0.01400000  -0.00583188
    0.01800000  -0.00582791
    0.02200000  -0.00607885
    0.02600000  -0.00603565
    0.03000000  -0.00589788
    0.03400000  -0.00601699
    0.03800000  -0.00631105
    0.04200000  -0.00616531
    0.04600000  -0.00620107
    0.05000000  -0.00664185
    0.05400000  -0.00635770
    0.05800000  -0.00624474
    0.06200000  -0.00637777
    0.06600000  -0.00639141
    0.07000000  -0.00617104
    0.07400000  -0.00611214
    0.07800000  -0.00611214
    0.08200000  -0.00611214
    0.08600000  -0.00611214
    0.09000000  -0.00611214
    0.09400000  -0.00611214
    0.09800000  -0.00611214
    0.10200000  -0.00611214
    0.10600000  -0.00611214
    0.11000000  -0.00611214
    0.11400000  -0.00611214
    0.11800000  -0.00611214
