            VZ   Slop/Const
   -0.11800000  -0.00169635
   -0.11400000  -0.00169635
   -0.11000000  -0.00169635
   -0.10600000  -0.00169635
   -0.10200000  -0.00169635
   -0.09800000  -0.00169635
   -0.09400000  -0.00169635
   -0.09000000  -0.00169635
   -0.08600000  -0.00169635
   -0.08200000  -0.00169635
   -0.07800000  -0.00169635
   -0.07400000  -0.00169635
   -0.07000000  -0.00169540
   -0.06600000  -0.00167925
   -0.06200000  -0.00183516
   -0.05800000  -0.00192902
   -0.05400000  -0.00177914
   -0.05000000  -0.00187104
   -0.04600000  -0.00204796
   -0.04200000  -0.00222018
   -0.03800000  -0.00256392
   -0.03400000  -0.00279573
   -0.03000000  -0.00294908
   -0.02600000  -0.00302093
   -0.02200000  -0.00287524
   -0.01800000  -0.00277759
   -0.01400000  -0.00278304
   -0.01000000  -0.00287170
   -0.00600000  -0.00285266
   -0.00200000  -0.00284745
    0.00200000  -0.00292847
    0.00600000  -0.00293443
    0.01000000  -0.00290473
    0.01400000  -0.00287079
    0.01800000  -0.00299824
    0.02200000  -0.00302882
    0.02600000  -0.00295985
    0.03000000  -0.00299022
    0.03400000  -0.00311061
    0.03800000  -0.00313302
    0.04200000  -0.00315453
    0.04600000  -0.00307913
    0.05000000  -0.00300322
    0.05400000  -0.00309172
    0.05800000  -0.00312259
    0.06200000  -0.00312914
    0.06600000  -0.00310021
    0.07000000  -0.00303764
    0.07400000  -0.00299062
    0.07800000  -0.00299062
    0.08200000  -0.00299062
    0.08600000  -0.00299062
    0.09000000  -0.00299062
    0.09400000  -0.00299062
    0.09800000  -0.00299062
    0.10200000  -0.00299062
    0.10600000  -0.00299062
    0.11000000  -0.00299062
    0.11400000  -0.00299062
    0.11800000  -0.00299062
