  Run#   PS       LT_Avg   LT_Avg_Err           LT       LT_Err         Rate        I_Max       I_Mean
  3671    2       0.9990       0.0161       0.9990       0.0161      45.7050       5.1872       4.9479
  3672    2       0.9988       0.0069       0.9988       0.0069      49.4777       5.1508       5.0518
  4077    1       0.9978       0.0664       0.9978       0.0664       0.6021       5.7966       3.9807
  4078    1       1.0000       0.0632       1.0000       0.0632       0.5986       6.7093       4.7740
  4242    1       0.9968       0.0104       0.9968       0.0104      49.8371       5.9498       5.0192
  4243    1       0.9961       0.0070       0.9961       0.0070      45.7257       5.6101       4.7262
  4102    2       0.9561       0.0064       0.9601       0.0366      15.9485      41.4362      39.6255
  4103    2       0.9568       0.0083       0.9525       0.0424      13.1242      41.9358      33.1330
  4247    1       0.8931       0.0009       0.8967       0.0499    1652.3720      41.2528      36.0618
  4248    1       0.8921       0.0009       0.8983       0.0501    1685.6170      41.0507      36.7550
  4249    1       0.8909       0.0009       0.8979       0.0512    1765.8869      41.1548      38.5851
  4250    1       0.8910       0.0008       0.8950       0.0455    1732.5191      41.2464      37.9033
  4095    2       0.9494       0.0064       0.9506       0.0394      19.0364      41.5517      38.9096
  4096    2       0.9129       0.0075       0.9128       0.0454      18.5718      41.7459      37.7373
  4097    2       0.9504       0.0064       0.9483       0.0371      17.1307      41.4638      34.8514
  4098    2       0.9465       0.0064       0.9480       0.0392      18.9708      41.8064      39.0365
  4099    2       0.9498       0.0064       0.9506       0.0389      18.5266      41.3826      38.1730
  4245    1       0.8722       0.0008       0.8814       0.0514    2026.6688      41.1717      39.7796
  4246    1       0.8735       0.0010       0.8808       0.0586    1956.1549      41.1909      38.4355
  3664    1       0.5854       0.0018       0.5854       0.1512    4344.9998      95.4255      88.0988
  3665    1       0.5906       0.0012       0.5906       0.1013    4831.8520      96.2884      91.5832
  3666    1       0.6017       0.0012       0.5997       0.0999    4168.6980      95.3411      78.6569
  3667    2       0.8410       0.0008       0.8484       0.0784    5159.7878      96.1623      92.6633
  3668    2       0.8410       0.0008       0.8484       0.0784    5159.7878      96.1623      92.6633
  3669    2       0.8410       0.0008       0.8484       0.0784    5159.7878      96.1623      92.6633
  3670    2       0.8424       0.0007       0.8543       0.0691    4946.2750      96.0112      86.6685
  3681    2       0.8197       0.0006       0.8321       0.0578    5344.9838      40.7382      38.2412
  3682    2       0.8187       0.0006       0.8307       0.0577    5471.9547      40.6006      39.0946
  3683    2       0.8211       0.0004       0.8282       0.0394    4915.4384      41.7129      34.9390
  3673    2       0.9330       0.0016       0.9330       0.1333    2826.0237      95.4102      92.3907
  3674    1       0.7891       0.0007       0.7965       0.0471    2326.7085      96.0613      72.1465
  3675    1       0.7891       0.0007       0.7965       0.0471    2326.7085      96.0613      72.1465
  3676    1       0.7800       0.0009       0.7907       0.0657    2952.9377      95.8769      92.3377
  3677    1       0.7802       0.0013       0.7802       0.1043    2871.3436      95.7133      91.2569
  3679    1       0.9976       0.0038       0.9976       0.0038      38.5821      17.2883       4.7217
  4079    1       0.9967       0.0570       0.9967       0.0570       0.6744       6.9860       5.1321
  4100    2       0.9635       0.0096       0.9596       0.0436      10.3284      41.4400      35.3672
  4101    2       0.9631       0.0090       0.9604       0.0416      10.7091      41.7059      36.2543
  3905    1       0.9928       0.0022       0.9912       0.0444     194.1522     123.7736      96.1086
  3906    1       0.9921       0.0027       0.9914       0.0497     164.0351     121.4741      80.7682
  4076    1       0.9892       0.0133       0.9892       0.0652      11.8076      41.3859      40.1420
  3892    1       0.8701       0.0126       0.8701       0.0126      51.8928     196.0980      55.8946
  3893    1       0.8440       0.0024       0.8440       0.0024     241.0466     173.9215      41.6705
  3896    1       0.9793       0.0027       0.9793       0.0027     388.0852       0.0000       0.0000
  3897    1       0.9887       0.0015       0.9887       0.0015     397.7058       0.0000       0.0000
  3898    1       0.9885       0.0021       0.9885       0.0021     394.8981     188.9481     116.9452
  3899    1       1.0000       0.0542       1.0000       0.0542       4.5305       1.1023       1.0698
  3900    1       0.8879       0.0016       0.8879       0.0016     375.4945     199.7415      58.3417
  3901    1       0.9894       0.0016       0.9894       0.0016     289.6110     189.8156      30.6799
  3902    1       0.9894       0.0019       0.9894       0.0019     262.1260     198.1309      20.7060
  3903    1       0.9893       0.0013       0.9893       0.0013     348.0897     191.4316      42.6310
  3904    1       0.9891       0.0022       0.9891       0.0022     362.5618     182.3948      51.9074
  4073    1       0.9792       0.0201       0.8848       0.0597       5.1505     116.5312      27.1208
  4074    1       0.9817       0.0064       0.9784       0.0376      17.3006     121.8547     101.0197
  4075    1       0.9815       0.0063       0.9822       0.0394      19.3382     121.0077     113.3263
  3657    1       0.9766       0.0027       0.9766       0.0754     391.5926      96.2832      88.6153
  3658    1       0.9754       0.0022       0.9754       0.0632     430.2420      96.2165      94.0163
  3660    1       0.9756       0.0014       0.9786       0.0399     399.9328      96.7421      87.0607
  3661    1       0.9773       0.0016       0.9788       0.0444     393.4291      95.9271      85.4731
  3662    1       0.9537       0.0018       0.9524       0.0737     818.9433      95.7018      87.8253
