  Run#   PS       LT_Avg   LT_Avg_Err           LT       LT_Err         Rate        I_Max       I_Mean
  3671    2       1.0000       0.0157       1.0000       0.0157      47.6278       5.1872       4.9479
  3672    2       0.9997       0.0068       0.9997       0.0068      50.8444       5.1508       5.0518
  4077    1       0.9970       0.0083       0.9970       0.0083      38.9628       5.7966       3.9807
  4078    1       0.9975       0.0071       0.9975       0.0071      47.5638       6.7093       4.7740
  4242    1       0.9958       0.0105       0.9958       0.0105      48.9770       5.9498       5.0192
  4243    1       0.9958       0.0070       0.9958       0.0070      46.7531       5.6101       4.7262
  4102    2       0.9664       0.0006       0.9704       0.0367    1896.5204      41.4362      39.6255
  4103    2       0.9666       0.0008       0.9664       0.0426    1581.6056      41.9358      33.1330
  4247    1       0.8922       0.0009       0.8958       0.0498    1714.5800      41.2528      36.0618
  4248    1       0.8916       0.0009       0.8977       0.0500    1751.8692      41.0507      36.7550
  4249    1       0.8904       0.0009       0.8972       0.0511    1834.1420      41.1548      38.5851
  4250    1       0.8902       0.0008       0.8942       0.0455    1797.4339      41.2464      37.9033
  4095    2       0.9604       0.0006       0.9624       0.0396    2080.2310      41.5517      38.9096
  4096    2       0.9276       0.0007       0.9280       0.0458    2012.9968      41.7459      37.7373
  4097    2       0.9607       0.0006       0.9612       0.0373    1861.5388      41.4638      34.8514
  4098    2       0.9609       0.0006       0.9631       0.0396    2077.5404      41.8064      39.0365
  4099    2       0.9607       0.0006       0.9620       0.0391    2028.2080      41.3826      38.1730
  4245    1       0.8720       0.0008       0.8810       0.0514    2107.6087      41.1717      39.7796
  4246    1       0.8736       0.0009       0.8811       0.0586    2029.9298      41.1909      38.4355
  3664    1       0.5856       0.0018       0.5856       0.1512    4464.0758      95.4255      88.0988
  3665    1       0.5911       0.0012       0.5911       0.1014    4963.1850      96.2884      91.5832
  3666    1       0.6013       0.0012       0.5992       0.0999    4270.2242      95.3411      78.6569
  3667    2       0.8428       0.0008       0.8502       0.0786    5297.0814      96.1623      92.6633
  3668    2       0.8428       0.0008       0.8502       0.0786    5297.0814      96.1623      92.6633
  3669    2       0.8428       0.0008       0.8502       0.0786    5297.0814      96.1623      92.6633
  3670    2       0.8442       0.0007       0.8562       0.0692    5074.3928      96.0112      86.6685
  3681    2       0.8248       0.0006       0.8373       0.0582    5866.8011      40.7382      38.2412
  3682    2       0.8235       0.0005       0.8356       0.0581    5997.3227      40.6006      39.0946
  3683    2       0.8258       0.0004       0.8329       0.0397    5383.9062      41.7129      34.9390
  3673    2       0.9370       0.0015       0.9370       0.1339    3198.1425      95.4102      92.3907
  3674    1       0.7886       0.0007       0.7959       0.0471    2630.3130      96.0613      72.1465
  3675    1       0.7886       0.0007       0.7959       0.0471    2630.3130      96.0613      72.1465
  3676    1       0.7793       0.0008       0.7900       0.0656    3335.0839      95.8769      92.3377
  3677    1       0.7799       0.0013       0.7799       0.1042    3244.5487      95.7133      91.2569
  3679    1       0.9972       0.0035       0.9972       0.0035      45.2927      17.2883       4.7217
  4079    1       0.9973       0.0066       0.9973       0.0066      49.7554       6.9860       5.1321
  4100    2       0.9721       0.0008       0.9727       0.0436    1523.6421      41.4400      35.3672
