  Run#   PS       LT_Avg   LT_Avg_Err           LT       LT_Err         Rate        I_Max       I_Mean
  4101    2       0.9720       0.0007       0.9726       0.0416    1561.0563      41.7059      36.2543
  3905    0      -1.0000       0.0000      -1.0000       0.0000     216.7429     123.7736      96.1086
  3906    0      -1.0000       0.0000      -1.0000       0.0000     182.7904     121.4741      80.7682
  4076    1       0.9883       0.0025       0.9883       0.0645     327.4971      41.3859      40.1420
  3892    1       0.9783       0.0031       0.9783       0.0031     304.9227       0.0000       0.0000
  3893    1       0.9783       0.0031       0.9783       0.0031     304.9227       0.0000       0.0000
  3894    1       0.9783       0.0031       0.9783       0.0031     304.9227       0.0000       0.0000
  3896    1       0.9783       0.0031       0.9783       0.0031     304.9227       0.0000       0.0000
  3897    0      -1.0000       0.0000      -1.0000       0.0000     283.4800       0.0000       0.0000
  3898    0      -1.0000       0.0000      -1.0000       0.0000     281.9186     188.9481     116.9452
  3899    0      -1.0000       0.0000      -1.0000       0.0000       3.4236       1.1023       1.0698
  3900    0      -1.0000       0.0000      -1.0000       0.0000     268.2856     199.7415      58.3417
  3901    0      -1.0000       0.0000      -1.0000       0.0000     205.1598     189.8156      30.6799
  3902    0      -1.0000       0.0000      -1.0000       0.0000     186.5668     198.1309      20.7060
  3903    0      -1.0000       0.0000      -1.0000       0.0000     247.3783     191.4316      42.6310
  3904    0      -1.0000       0.0000      -1.0000       0.0000     258.0959     182.3948      51.9074
  4073    1       0.9787       0.0043       0.9389       0.0617     113.2634     116.5312      27.1208
  4074    1       0.9813       0.0013       0.9803       0.0374     406.8200     121.8547     101.0197
  4075    1       0.9803       0.0013       0.9817       0.0391     454.7225     121.0077     113.3263
  3657    1       0.9765       0.0025       0.9764       0.0754     474.5116      96.2832      88.6153
  3658    1       0.9750       0.0020       0.9750       0.0632     504.2331      96.2165      94.0163
  3660    1       0.9754       0.0013       0.9785       0.0399     469.4496      96.7421      87.0607
  3661    1       0.9775       0.0015       0.9788       0.0444     460.8560      95.9271      85.4731
  3662    1       0.9543       0.0018       0.9529       0.0738     837.3082      95.7018      87.8253
  3663    1       0.9555       0.0027       0.9555       0.1126     887.2987      95.5827      92.9152
  3907    0      -1.0000       0.0000      -1.0000       0.0000     219.6576     192.3138      44.8234
  3908    0      -1.0000       0.0000      -1.0000       0.0000     182.8130     197.7659      71.0304
  3913    0      -1.0000       0.0000      -1.0000       0.0000     115.6163     129.0424     119.8771
  3914    0      -1.0000       0.0000      -1.0000       0.0000     124.8886     128.6814     115.6360
  3915    0      -1.0000       0.0000      -1.0000       0.0000     124.3081     131.2858     114.8035
  3916    0      -1.0000       0.0000      -1.0000       0.0000     134.5629     131.3985     125.0345
  3909    0      -1.0000       0.0000      -1.0000       0.0000      27.5414     117.9505      22.6670
  3910    0      -1.0000       0.0000      -1.0000       0.0000      94.7805     130.0419      83.7437
  3911    0      -1.0000       0.0000      -1.0000       0.0000     147.0939     130.2882     124.2843
  3912    0      -1.0000       0.0000      -1.0000       0.0000     144.5283     131.1396     122.6551
  4151    1       0.9971       0.0141       0.6740       0.0542      15.7360      10.6547       9.0922
  4163    1       0.8803       0.0011       0.8803       0.0011    2020.5092     181.3386     122.5214
  4164    1       0.8804       0.0012       0.8804       0.0012    2001.4818     197.7976     130.3800
  4165    1       0.9671       0.0020       0.9667       0.0672     592.9431     106.2318      75.5203
  4166    1       0.9665       0.0018       0.9665       0.0652     644.8504      82.8283      58.4663
  4167    1       0.9670       0.0018       0.9670       0.0643     621.9314      83.3027      73.8867
  4168    1       0.9671       0.0016       0.9699       0.0539     565.0127     115.9083      79.4595
  4169    1       0.9675       0.0023       0.9663       0.0805     603.3815     112.9088      73.7831
  4170    1       0.9703       0.0020       0.9692       0.0664     557.6088     122.9997      97.7034
  4171    1       0.9727       0.0019       0.9724       0.0624     559.4605     124.2928      86.0520
  4172    1       0.9698       0.0018       0.9695       0.0585     543.7158      83.7069      63.0813
  4173    1       0.9702       0.0014       0.9727       0.0485     583.6116      82.6717      63.2100
  4178    1       0.9766       0.0015       0.9788       0.0452     431.1348      40.7382      40.3155
  4179    1       0.9769       0.0015       0.9788       0.0430     432.7095      40.8845      40.3269
  4175    1       0.9749       0.0019       0.9744       0.0614     498.2021      82.7671      55.0470
  4176    1       0.9739       0.0047       0.9736       0.1364     412.8592      40.8992      34.1226
  4177    1       0.9750       0.0012       0.9752       0.0381     491.4617      80.7257      39.3860
  4153    1       0.9290       0.0015       0.9290       0.0015     961.4549     197.5857     113.4518
  4154    1       0.9279       0.0015       0.9279       0.0015     848.9171     179.5219     101.4167
  4155    1       0.9272       0.0013       0.9272       0.0013    1023.5766     199.9856     129.5939
  4156    1       0.9277       0.0015       0.9277       0.0015     918.8712     196.0809     117.0907
  4157    1       0.9283       0.0015       0.9283       0.0015    1024.1226     195.3411     132.0581
  4158    1       0.9294       0.0015       0.9294       0.0015    1022.7401     199.5200     132.7649
  4159    1       0.9255       0.0013       0.9255       0.0013    1024.1435     198.5418     130.9996
  4160    1       0.9284       0.0014       0.9284       0.0014     928.4428     183.8174     109.3751
  4161    1       0.9284       0.0015       0.9284       0.0015    1023.8015     194.4666     124.1048
  4162    1       0.9545       0.0015       0.9545       0.0015     897.4582     199.3809     110.9136
  4152    1       0.9980       0.0120       0.9980       0.0120      14.1259      10.7813       7.2441
  3692    1       0.9868       0.0034       0.9863       0.0605     159.6688      95.4961      79.2453
  4121    1       0.9849       0.0032       0.9847       0.0569     162.0390      96.7416      84.4446
  4122    1       0.9850       0.0031       0.9835       0.0525     140.4283      96.9562      72.2602
  4123    1       0.9843       0.0029       0.9824       0.0359      77.9591      41.3203      36.7813
  4124    1       0.9890       0.0033       0.9882       0.0420      83.2178      40.8091      39.7693
  4126    1       0.9910       0.0032       0.9910       0.0394      75.5544      40.6114      40.1867
  4127    1       0.9908       0.0032       0.9890       0.0370      65.6387      42.4519      34.8985
  3693    1       0.9966       0.0133       0.9962       0.0900      22.1188      40.6329      37.9436
  3694    1       0.9985       0.0097       0.9928       0.0469      11.5586      21.6219      19.2191
  3695    1       0.9895       0.0116       0.9862       0.0560      11.5099      21.0220      19.5096
  3696    1       1.0000       0.0127       0.9964       0.0615      11.4711      20.5050      19.2133
  3697    1       0.9991       0.0416       0.9289       0.1461       6.7208      20.3580      10.9731
  3698    1       0.9872       0.0123       0.9847       0.0593      11.4428      20.6863      19.4446
  3699    1       0.9928       0.0160       0.9861       0.0586       6.5401      21.0836      18.9993
  3700    1       0.9911       0.0146       0.9911       0.0555       6.9056      20.4199      19.8421
  3701    1       0.9929       0.0147       0.9929       0.0554       6.8415      20.4535      19.8644
  3702    1       0.9984       0.0127       0.9952       0.0606      10.9646      20.9595      18.9109
  3703    1       0.9989       0.0239       0.4390       0.0374       5.7395      10.3421       9.4120
  3704    1       0.9930       0.0158       0.4371       0.0252       5.9513      10.3949       9.8216
  3705    1       0.9987       0.0081       0.9987       0.0081       5.9593      10.6314       9.8236
  3706    1       0.9915       0.0457       0.9915       0.0457       5.8239      10.2302       9.7203
  3707    1       0.9982       0.0098       0.9982       0.0098       5.7311      10.7364       9.3236
  3708    1       0.9980       0.0123       0.4048       0.0175       5.5178      10.6863       9.0805
  4128    1       0.9914       0.0061       0.9857       0.0585      46.6056      41.0752      35.8528
  4129    1       0.9904       0.0079       0.9873       0.0746      44.0392      41.5126      33.8916
  4130    1       0.9914       0.0036       0.9887       0.0354      48.0673      42.2306      36.8039
  4131    1       0.9917       0.0043       0.9897       0.0429      49.8352      41.4277      38.2449
  4119    1       0.9914       0.0033       0.9911       0.0372      65.2150      41.5311      39.2507
  4120    1       0.9913       0.0033       0.9901       0.0368      63.5237      42.9933      38.2148
  4112    1       0.9804       0.0045       0.9804       0.0045      87.5603     199.9134     110.0999
  4113    1       0.9873       0.0075       0.9773       0.0579      30.3292     121.5791      35.7693
  4114    1       0.9877       0.0031       0.9864       0.0414      86.3822     121.0029     102.9265
  4115    1       0.9872       0.0031       0.9861       0.0399      80.2393     121.3490      95.2282
  4116    1       0.9874       0.0032       0.9866       0.0409      83.8846     120.6879     100.2599
  4132    1       0.9866       0.0155       0.9866       0.2106      89.1052     121.6236     115.4292
  3689    1       0.9867       0.0202       0.9867       0.2740      84.8858      94.9847      87.0164
  3690    1       0.9895       0.0026       0.9888       0.0374     101.8243      96.3073      91.1031
  3691    1       0.9899       0.0027       0.9887       0.0368      94.5684      96.4004      84.3169
  4209    1       0.9472       0.0013       0.9472       0.0812    2067.2392      96.8692      94.7494
  4210    1       0.9464       0.0013       0.9464       0.0853    2067.4051      96.6529      94.8431
  4211    1       0.9741       0.0013       0.9739       0.0506     805.6858      41.5614      39.0240
  4212    1       0.9744       0.0013       0.9744       0.0505     745.5161      41.2373      36.3758
  4213    1       0.9746       0.0019       0.9725       0.0742     778.6657      41.0755      37.8252
  4215    1       0.9770       0.0013       0.9769       0.0489     714.0223      41.3542      39.3099
  4216    1       0.9785       0.0012       0.9768       0.0449     662.1638      42.6521      36.3090
  4190    1       0.9779       0.0043       0.9779       0.1442     561.6787      40.6037      39.5333
  4191    1       0.9730       0.0015       0.9730       0.0514     581.1528      40.8078      40.4421
  4192    1       0.9732       0.0015       0.9728       0.0516     567.6071      41.6893      39.5244
  4181    1       0.9077       0.0009       0.9077       0.0009    1614.9571     199.2503     115.9840
  4184    1       0.9143       0.0007       0.9143       0.0007    1702.6274     190.0306     121.4389
  4187    1       0.9180       0.0008       0.9180       0.0008    1353.9053     173.3196      95.7416
  4188    1       0.9180       0.0007       0.9239       0.0412    1603.3132     123.2959     113.2165
  4189    1       0.9164       0.0014       0.9164       0.0792    1686.5844     122.8128     120.7958
  3650    1       0.9715       0.0016       0.9709       0.0504     497.2154      97.0155      85.0995
  3651    1       0.9710       0.0012       0.9719       0.0400     537.8277      96.6195      91.3969
  3822    1       0.9679       0.0064       0.9679       0.0064     464.1427       0.0000       0.0000
  3823    1       0.9692       0.0021       0.9692       0.0021     544.8703       0.0000       0.0000
  3824    1       0.9693       0.0021       0.9693       0.0021     507.5970     187.1512      62.1087
  3825    1       0.9692       0.0021       0.9692       0.0021     547.1012       0.0000       0.0000
  3837    1       0.9828       0.0093       0.9828       0.0093      72.0497     134.8608      42.8507
  3838    1       0.9831       0.0033       0.9804       0.0496     115.6381     126.6251      66.5129
  3839    1       0.9833       0.0070       0.9806       0.0941      89.2328     126.8202      52.0041
  3840    1       0.9831       0.0033       0.9826       0.0592     160.0998     127.2432      92.8741
  3841    1       0.9834       0.0025       0.9834       0.0507     213.4532     126.5694     122.8665
  3842    1       0.9831       0.0025       0.9821       0.0457     172.9064     126.2319      99.3828
  3843    1       0.9813       0.0029       0.9803       0.0574     190.1758     126.0468     114.3617
  3844    1       0.9829       0.0042       0.9808       0.0601     100.7997     126.3024      58.1305
  3829    1       0.9958       0.0215       0.9958       0.1563      25.4075      17.6078      17.0553
  3830    1       0.9852       0.0024       0.9852       0.0024     201.7014     137.9228     133.7111
  3831    1       0.9851       0.0024       0.9851       0.0024     181.9394     137.5773     120.4415
  3832    1       0.9850       0.0024       0.9850       0.0024     200.9371     137.6770     132.8342
  3833    1       0.9849       0.0024       0.9849       0.0024     196.9410     137.4296     129.7007
  3834    1       0.8639       0.0022       0.8639       0.0022     187.8533     137.1999     122.7067
  3835    1       0.9852       0.0024       0.9852       0.0024     192.5176     135.9656     126.8433
  3826    1       0.9887       0.0024       0.9887       0.0024     163.1522     138.3304     133.1331
  3827    1       0.9886       0.0024       0.9886       0.0024     154.2359     137.7566     125.7066
  3828    1       0.9883       0.0024       0.9883       0.0024     137.8557     137.7374     112.1616
  3642    1       0.9567       0.0038       0.9567       0.0998     352.5447      45.9281      44.4856
  3643    1       0.9792       0.0020       0.9791       0.0538     349.7738      46.7329      43.8046
  3644    1       0.9793       0.0012       0.9797       0.0319     343.4520      46.1024      42.6958
  3645    1       0.9792       0.0012       0.9793       0.0326     345.7070      46.2447      42.9641
  3646    1       0.9792       0.0013       0.9796       0.0337     349.5365      46.4996      43.5412
  3648    1       0.9791       0.0015       0.9800       0.0410     350.6954      46.0832      43.6037
  3808    1       0.9769       0.0042       0.9769       0.0042     294.9860     194.7206     133.6602
  3809    1       0.9804       0.0022       0.9804       0.0022     279.7315     198.5880      93.5181
  3810    1       0.9824       0.0022       0.9824       0.0022     302.5459     199.9760     172.3511
  3811    1       0.9814       0.0024       0.9814       0.0024     246.6140     192.6766      70.6834
  3812    1       0.9832       0.0022       0.9832       0.0022     295.8055     161.5612      46.5944
  3813    1       0.9812       0.0022       0.9812       0.0022     239.5061     186.0262      14.5658
  3814    1       0.9808       0.0019       0.9808       0.0019     303.3333       0.0000       0.0000
  3815    1       0.9833       0.0021       0.9833       0.0021     279.7869     197.3290      50.7836
  3816    1       0.9889       0.0034       0.9889       0.0034     282.4467     160.6028      48.4870
  3817    1       0.9879       0.0024       0.9879       0.0024     288.6567     195.3058      48.7529
  3818    1       0.9814       0.0022       0.9814       0.0022     278.6492     177.3790      62.4473
  3819    1       0.9813       0.0022       0.9813       0.0022     291.3568     194.0072      71.8542
  3820    1       0.9815       0.0022       0.9815       0.0022     289.1815     195.2385      52.0555
  3821    1       0.9817       0.0022       0.9817       0.0022     290.6194     192.1458      64.5904
  3652    1       0.9845       0.0016       0.9857       0.0394     294.3693      97.1645      90.3251
  3653    1       0.9845       0.0013       0.9845       0.0013     303.3439      95.9691      92.8918
  3654    1       1.0000       0.0027       0.9838       0.0405     185.5311      95.7762      56.8866
  3655    1       0.9845       0.0025       0.9845       0.0623     301.7631      96.1136      94.0213
  3656    1       0.9845       0.0025       0.9845       0.0623     301.7631      96.1136      94.0213
  3581    1       0.9379       0.0050       0.9379       0.0050      25.7279      55.9037       3.8243
  3585    1       0.9737       0.0018       0.9737       0.0449     312.6699      96.8364      94.6293
  3590    1       0.9810       0.0038       0.9805       0.0324      35.4227      97.0696      90.4038
  3591    1       0.9798       0.0053       0.9797       0.0448      35.2326      96.3373      91.1714
  3592    1       0.9818       0.0053       0.9801       0.0429      32.6798      96.6879      83.7277
  3759    1       0.9915       0.0042       0.9909       0.0469      61.1580      96.1619      87.2585
  3760    1       0.9903       0.0053       0.9899       0.0595      63.8269      96.3444      90.9259
  3795    1       0.9866       0.0076       0.9866       0.0076      42.5428     191.8543     120.6997
  3796    1       0.9861       0.0038       0.9861       0.0038      66.7675     192.3512     189.4236
  3797    1       0.9873       0.0040       0.9873       0.0040      62.3731     195.7096     178.8708
  3798    1       0.9865       0.0039       0.9865       0.0039      56.3021     199.9549     163.1851
  3799    1       0.9882       0.0085       0.9882       0.0085      53.6985     199.9358     158.0115
  3761    1       0.9942       0.0047       0.9924       0.0329      24.0508      40.8115      38.5292
  3765    1       0.9942       0.0048       0.9927       0.0332      24.0638      40.8034      38.4405
  3800    1       0.9897       0.0055       0.9885       0.0372      22.8136     123.3087     108.7815
  3801    1       0.9907       0.0131       0.9907       0.0921      24.2614     122.4641     117.3167
  3802    1       0.9894       0.0055       0.9894       0.0394      25.0534     123.0751     120.8417
  3803    1       0.9905       0.0078       0.9901       0.0554      24.9871     123.4910     118.7521
  3804    1       0.9896       0.0047       0.9893       0.0333      24.4263     126.1990     120.5293
  3805    1       0.9898       0.0057       0.9898       0.0057      21.9147     130.9123     107.9684
  4229    1       0.9936       0.0042       0.9919       0.0300      24.6849      41.4534      39.3523
  4230    1       0.9933       0.0043       0.9921       0.0294      23.5560      42.0763      38.1405
  4241    1       0.9911       0.0093       0.9798       0.0513      15.3205      41.2423      24.5150
  3565    1       0.9100       0.0019       0.9054       0.0303     138.6736      82.0073      75.4361
  3566    1       0.9000       0.0018       0.8924       0.0299     152.9260      96.9605      82.6840
  3567    1       0.8956       0.0016       0.8949       0.0299     173.0737      97.1966      93.8596
  3568    1       0.8951       0.0015       0.8941       0.0275     173.5393      97.3234      93.6127
  3569    1       0.8965       0.0017       0.8911       0.0299     166.0831      97.2239      88.7011
  3570    1       0.9784       0.0018       0.9769       0.0328     172.9902      96.8404      92.9435
  3571    1       0.9782       0.0017       0.9776       0.0325     175.4081      97.0306      94.0154
  3572    1       0.9783       0.0018       0.9773       0.0327     174.6006      97.3041      93.8940
  3573    1       0.9788       0.0017       0.9770       0.0323     172.0146      96.7827      91.9777
  3574    1       0.9786       0.0018       0.9773       0.0325     173.0379      96.9959      92.9507
  3576    1       0.9788       0.0017       0.9730       0.0314     164.0630      97.0273      87.2774
  3577    1       0.9780       0.0017       0.9693       0.0309     160.1000      97.2438      85.0768
  3578    1       0.9755       0.0019       0.9308       0.0282     119.0706      96.7377      60.6368
  3579    1       0.9635       0.0051       0.7736       0.0407      49.3403      71.3475      20.5308
  3583    1       0.9772       0.0034       0.9600       0.0503     113.0683      96.8261      59.8792
  3584    1       0.9444       0.0044       0.4938       0.0184      33.0061      95.9754       5.8012
  3735    1       0.9936       0.0045       0.9932       0.0352      29.9181     111.9196     107.0235
  3736    1       0.9939       0.0050       0.9930       0.0382      28.5790     111.1975     101.7339
  3737    1       0.9944       0.0077       0.9913       0.0525      23.2984     111.4528      83.2515
  3738    1       0.9941       0.0112       0.9895       0.0706      19.5757     110.2614      68.9747
  3739    1       0.9967       0.0176       0.9793       0.0871      12.1451     100.8310      41.5432
  3740    1       0.9937       0.0050       0.9919       0.0367      26.3396     111.6555      93.3064
  3741    1       0.9942       0.0078       0.9861       0.0481      19.1392     106.6726      66.7499
  3742    1       0.9945       0.0048       0.9916       0.0344      25.1800     119.0711      88.5776
  3743    1       0.9936       0.0063       0.9925       0.0475      28.2229     111.6879     100.3075
  3744    1       0.9939       0.0073       0.9907       0.0506      23.5284     111.3055      82.1849
  3745    1       0.9947       0.0048       0.9935       0.0348      25.8969     110.8059      90.1227
  3746    1       0.9939       0.0057       0.9912       0.0401      24.9126     111.4138      88.2109
  3747    1       0.9927       0.0135       0.9675       0.0593       9.8278     112.9931      34.4052
  3748    1       0.9941       0.0067       0.9916       0.0491      26.2185     111.0208      93.0201
  3749    1       0.9947       0.0116       0.9764       0.0628      14.8061     110.0481      38.5713
  3750    1       0.9974       0.0415       0.6223       0.0438       1.0207     110.1519       1.8806
  3751    1       0.9922       0.0044       0.9917       0.0389      38.0013     119.8145     107.2895
  3752    1       0.9940       0.0081       0.9833       0.0431      14.0553     116.4470      41.4996
  3753    1       0.9926       0.0044       0.9904       0.0348      31.4396     116.2734      90.2749
  3754    1       0.9920       0.0041       0.9898       0.0335      33.1503     116.4338      96.2894
  3755    1       0.9922       0.0048       0.9909       0.0408      35.2294     116.7751     103.0486
  3756    1       0.9920       0.0040       0.9903       0.0339      35.2569     115.9425     101.9193
  3757    1       0.9223       0.0043       0.9212       0.0358      35.2614     116.2611     103.2576
  3758    1       0.9923       0.0040       0.9904       0.0327      33.0835     115.8207      95.2206
  3766    1       0.9917       0.0043       0.9914       0.0384      38.5415     118.1694     111.7588
  3767    1       0.9913       0.0104       0.9913       0.0923      38.5066     117.4711     115.0539
  3768    1       0.9912       0.0046       0.9907       0.0408      38.3225     118.0889     111.2211
  3769    1       0.9922       0.0047       0.9906       0.0390      34.4948     118.0708      99.0208
  3770    1       0.9924       0.0053       0.9855       0.0378      25.8077     117.6537      73.8528
  3771    1       0.9935       0.0048       0.9916       0.0383      31.4931     114.9790      90.2718
  3772    1       0.9918       0.0069       0.9874       0.0499      25.9250     110.8068      73.8994
  3773    1       0.9926       0.0057       0.9876       0.0421      27.2305     110.8174      77.4186
  3774    1       0.9951       0.0053       0.9698       0.0265      12.8588     110.3410      33.7924
  3775    1       0.9976       0.0117       0.9694       0.0441       7.2571      34.2162      17.0303
  3776    1       0.9969       0.0110       0.9969       0.0562      12.6318      30.7533      30.2609
  3778    1       0.9909       0.0053       0.9904       0.0466      37.9897     118.8070     110.6682
  3779    1       0.9917       0.0048       0.9917       0.0436      40.2401     118.7854     117.1706
  3807    1       0.9905       0.0041       0.9905       0.0041      34.1865     199.6309      51.9448
  4217    1       0.9867       0.0041       0.9859       0.0354      37.2110     122.3339     108.6037
  4218    1       0.9777       0.0040       0.9760       0.0342      36.2889     120.8380     105.6630
  4219    1       0.9911       0.0040       0.9902       0.0350      37.5851     120.7663     109.8609
  4220    1       0.9907       0.0040       0.9890       0.0336      34.5603     120.2056     100.6510
  4221    1       0.9911       0.0040       0.9894       0.0347      36.8029     120.7644     107.9004
  4222    1       0.9899       0.0062       0.9899       0.0559      40.5504     119.9089     118.1147
  4223    1       0.9906       0.0040       0.9891       0.0340      35.2702     120.4959     103.0192
  4224    1       0.9904       0.0040       0.9903       0.0361      39.6793     121.4169     116.6739
  4225    1       0.9908       0.0040       0.9896       0.0348      37.0712     121.2434     107.9467
  4226    1       0.9908       0.0040       0.9878       0.0342      35.8768     120.6259     104.3513
  4227    1       0.9920       0.0040       0.9916       0.0358      39.0622     120.4382     114.0058
  4228    1       0.9908       0.0040       0.9908       0.0362      40.0479     120.7265     117.2049
  4232    1       0.9909       0.0040       0.9898       0.0354      38.1195     122.6288     112.3903
  4233    1       0.9908       0.0040       0.9896       0.0348      37.1600     122.4358     108.5716
  4234    1       0.9909       0.0041       0.9891       0.0338      34.4713     121.6683     101.6136
  4235    1       0.9904       0.0040       0.9901       0.0357      38.7264     121.4285     114.2251
  4236    1       0.9917       0.0071       0.9826       0.0483      23.0487     121.4636      66.5673
  4237    1       0.9903       0.0056       0.9879       0.0449      32.3517     122.1501      93.6256
  4238    1       0.9911       0.0040       0.9908       0.0357      38.8791     120.3789     114.4736
  4239    1       0.9912       0.0040       0.9902       0.0348      37.0234     120.5074     108.3296
  4240    1       0.9910       0.0040       0.9897       0.0349      37.2714     120.7019     109.2212
  3917    0      -1.0000       0.0000      -1.0000       0.0000       0.6256      16.4003      10.4671
  4077    1       0.9970       0.0083       0.9970       0.0083      38.9628       5.7966       3.9807
  4078    1       0.9975       0.0071       0.9975       0.0071      47.5638       6.7093       4.7740
  4272    1       0.9950       0.0498       0.9950       0.0498       0.6818       5.7695       4.7844
  3949    1       0.9605       0.0036       0.9605       0.0036      39.3247     199.6899      51.6884
  3950    1       0.9608       0.0033       0.9608       0.0033      38.4593     190.1749      40.6379
  4014    1       0.9903       0.0044       0.9903       0.0395      40.5982      97.0524      95.2558
  4015    1       0.9905       0.0042       0.9903       0.0378      39.9284      97.1451      93.6644
  4016    1       0.9899       0.0044       0.9891       0.0379      37.3981      97.3581      87.8859
  4017    1       0.9896       0.0052       0.9895       0.0469      40.2777      96.9012      94.3985
  4062    1       0.9901       0.0044       0.9901       0.0395      40.6416      97.1656      95.0650
  4063    1       0.9902       0.0044       0.9890       0.0377      37.0733      97.2687      86.4281
  4064    1       0.9899       0.0090       0.9899       0.0816      39.9080      96.7426      94.5235
  4065    1       0.9892       0.0044       0.9883       0.0382      38.0367      97.1010      89.2237
  4068    1       0.9899       0.0043       0.9899       0.0393      40.7861      97.2877      94.9916
  4091    2       0.8915       0.0005       0.8990       0.0446    3803.3566     104.5904      66.6152
  4092    2       0.8887       0.0005       0.8978       0.0517    5198.4771      97.4217      90.8495
  4093    2       0.8877       0.0005       0.8969       0.0519    5239.7465      97.9252      91.4906
  4094    2       0.8878       0.0005       0.8971       0.0517    5159.6622      97.4200      90.8517
  4267    1       0.9893       0.0045       0.9888       0.0398      38.7953      97.6001      92.2369
  4268    1       0.9893       0.0066       0.9833       0.0489      27.1648      97.4773      64.4117
  4269    1       0.9922       0.0072       0.9922       0.0648      39.8720      97.4844      95.3643
  3951    1       0.9714       0.0053       0.9710       0.0287      14.4710     128.0461     121.3907
  3952    1       0.9709       0.0063       0.9696       0.0329      13.6929     127.1025     115.3223
  3953    1       0.9714       0.0062       0.9693       0.0325      13.6009     127.3092     113.9956
  3954    1       0.9707       0.0285       0.9266       0.0917       5.3859     126.2813      45.0340
  3955    1       0.9706       0.0063       0.9678       0.0327      13.5059     127.4084     111.8139
  3956    1       0.9709       0.0056       0.9661       0.0284      12.6341     127.3808     105.8169
  4018    1       0.9916       0.0064       0.9877       0.0335      13.4867      41.2069      36.5957
  4019    1       0.9917       0.0066       0.9903       0.0355      14.0975      41.7367      38.3910
  4020    1       0.9913       0.0064       0.9911       0.0351      14.6639      41.7390      39.7780
  4021    1       0.9917       0.0063       0.9891       0.0335      13.8514      41.2727      37.8234
  4022    1       0.9915       0.0057       0.9903       0.0310      14.2706      82.2964      49.6268
  4023    1       0.9921       0.0062       0.9896       0.0329      13.9687      84.5468      70.1252
  4024    1       0.9914       0.0057       0.9917       0.0304      14.1870      87.5980      73.6479
  4069    1       0.9917       0.0066       0.9894       0.0351      14.1483      41.2308      38.2615
