 Run# Tgt_Name      Tgt_P          I         E0       dE/E       P0_L    Angle_L       P0_R    Angle_R
 3563      He4   199.2950     5.0746  3353.2100     0.0000    2.99502    24.9997    2.99498    25.0005
 3564      He4   199.1360     5.0405  3353.2100     0.0000    2.99502    24.9997    2.99497    25.0005
 3565      He4   193.4740    81.2072  3353.5300     0.0000    2.99502    24.9997    2.99498    25.0005
 3566      He4   192.8750    85.9854  3353.5300     0.0000    2.99503    24.9997    2.99506    25.0005
 3567      He4   191.2190    95.1934  3353.5200     0.0000    2.99503    24.9997    2.99504    25.0005
 3568      He4   192.1300    96.1528  3353.5100     0.0000    2.99503    24.9997    2.99495    25.0005
 3569      He4   191.2590    93.9090  3353.5100     0.0000    2.99503    24.9997    2.99506    25.0005
 3570      He4   192.7090    96.1189  3353.5800     0.0000    2.99503    24.9997    2.99505    25.0005
 3571      He4   192.4160    96.9179  3353.6100     0.0000    2.99503    24.9997    2.99496    25.0005
 3572      He4   192.7890    96.2388  3353.5900     0.0000    2.99503    24.9997    2.99503    25.0005
 3573      He4   193.5800    96.2072  3353.5500     0.0000    2.99503    24.9997    2.99508    25.0005
 3574      He4   193.3610    97.3834  3353.5600     0.0000    2.99503    24.9997    2.99500    25.0005
 3575      He4   193.1410    95.0958  3353.5900     0.0000    2.99507    24.9997    2.99495    25.0005
 3576      He4   193.0420    94.3978  3353.5500     0.0000    2.99507    24.9997    2.99507    25.0005
 3577      He4   197.2330     0.0483  3353.3100     0.0000    2.99507    24.9997    2.99498    25.0005
 3578      He4   193.4210    95.6755  3353.5500     0.0000    2.99507    24.9997    2.99494    25.0005
 3579      He4   199.6940    40.6639  3353.5400     0.0000    2.99507    24.9997    2.99502    25.0005
 3580      He4   198.6370     0.0488  3353.3100     0.0000    2.99507    24.9997    2.99503    25.0005
 3581      C12   198.7300     5.1343  3353.5000     0.0000    2.99506    24.9997    2.99504    25.0005
 3582      C12   198.5570    45.0709  3353.5400     0.0000    2.99507    24.9997    2.99506    25.0005
 3583      He4   197.9580    61.2226  3353.5300     0.0000    2.99507    24.9997    2.99506    25.0005
 3584      C12   198.8230     0.0481  3353.3100     0.0000    2.99507    24.9997    2.99504    25.0005
 3585      C12   198.5500    95.4956  3353.5800     0.0000    2.99507    24.9997    2.99502    25.0005
 3586      C12   198.7960     0.0487  3353.3100     0.0000    2.99506    24.9997    2.99506    25.0005
 3587      C12   198.9430     0.0484  3353.3100     0.0000    2.99507    24.9997    2.99506    25.0005
 3588      C12   198.7630     0.0481  3353.3100     0.0000    2.99507    24.9997    2.99502    25.0005
 3589      C12   198.9630     1.0430  3353.3800     0.0000    2.99507    24.9997    2.99502    25.0005
 3590      C12   198.9760     0.0485  3353.3100     0.0000    2.99506    24.9997    2.99504    25.0005
 3591      C12   198.7830     0.0492  3353.3100     0.0000    2.99507    24.9997    2.99503    25.0005
 3592      C12   198.2640    97.2518  3353.2500     0.0000    2.99507    24.9997    2.99501    25.0005
 3593       H2   198.2570     0.1188  3352.8300     0.0000    2.79495    24.9997    2.79500    25.0005
 3594       H2   175.4840     0.0491  3353.3100     0.0000    2.79503    24.9997    2.24958    25.0005
 3595       H2   201.7700     0.0497  3353.3100     0.0000    2.79503    24.9997    2.79500    25.0005
 3596       H2   202.2560     0.0509  3353.3100     0.0000    2.79503    24.9997    2.79500    25.0005
 3597       H2   201.8300     0.0506  3353.3100     0.0000    2.79503    24.9997    2.79500    25.0005
 3598       H2   201.4770     0.0500  3353.3100     0.0000    2.79503    24.9997    2.79500    25.0005
 3599       H2   201.7100     0.0507  3353.3100     0.0000    2.79503    24.9997    2.79500    25.0005
 3600       H2   201.9170     0.0500  3353.3100     0.0000    2.79504    24.9997    2.95590    25.0005
 3601       H2   202.5550     0.0496  3353.3100     0.0000    2.79503    24.9997    2.97487    25.0005
 3607      He4   201.2510    56.2763  3353.2800     0.0000    2.50498    24.9997    2.50202    25.0005
 3608      He4   199.6940   101.9630  3353.2500     0.0000    2.50498    24.9997    2.50282    25.0005
 3609      He4   200.2070   101.2460  3353.2500     0.0000    2.50498    24.9997    2.50500    25.0005
 3610      He4   199.9210    96.8806  3353.2800     0.0000    2.50498    24.9997    2.50500    25.0005
 3611      He4   199.7680    96.8364  3353.2600     0.0000    2.50498    24.9997    2.50539    25.0005
 3612      He4   199.8210    95.1183  3353.2700     0.0000    2.50498    24.9997    2.50500    25.0005
 3613      He4   201.0320     0.0489  3353.3100     0.0000    2.50504    24.9997    2.50504    25.0005
 3614      He4   202.7150     0.0505  3353.3100     0.0000    2.50503    24.9997    2.50508    25.0005
 3615      He4   199.0760    95.2208  3353.2600     0.0000    2.50503    24.9997    2.50507    25.0005
 3616      He4   198.8690    95.8004  3353.2400     0.0000    2.50503    24.9997    2.50507    25.0005
 3617      He4   201.7500    40.7269  3353.3000     0.0000    2.50502    24.9997    2.50505    25.0005
 3618      He4   202.4820    60.8565  3353.2700     0.0000    2.50503    24.9997    2.50499    25.0005
 3619      He4   201.7170    45.8514  3353.2500     0.0000    2.50503    24.9997    2.50496    25.0005
 3620      He4   201.3980     0.0492  3353.3100     0.0000    2.50503    24.9997    2.50499    25.0005
 3621      He4   201.4240    30.4176  3353.2400     0.0000    2.50503    24.9997    2.50499    25.0005
 3622      He4   200.9120    15.3739  3353.2700     0.0000    2.50503    24.9997    2.50499    25.0005
 3623      C12   200.7990   101.1890  3353.2500     0.0000    2.50503    24.9997    2.50492    25.0005
 3624      C12   200.8990   101.3070  3353.2600     0.0000    2.50503    24.9997    2.50494    25.0005
