 Run# Tgt_Name      Tgt_P          I         E0       dE/E       P0_L    Angle_L       P0_R    Angle_R
 3625      C12   200.6860    96.4027  3353.2700     0.0000    2.50503    24.9997    2.50497    25.0005
 3626      C12   200.9780    96.2411  3353.2700     0.0000    2.50503    24.9997    2.50500    25.0005
 3627      C12   200.9450    95.1212  3353.2600     0.0000    2.50503    24.9997    2.50505    25.0005
 3628      C12   200.4660    80.5127  3353.2400     0.0000    2.50503    24.9997    2.50505    25.0005
 3629      C12   200.7860    60.5479  3353.2500     0.0000    2.50503    24.9997    2.50504    25.0005
 3630      C12   200.0600    45.5914  3353.2700     0.0000    2.50503    24.9997    2.50507    25.0005
 3631      C12   199.3820    30.1793  3353.2400     0.0000    2.50503    24.9997    2.50507    25.0005
 3632      C12   199.1560    30.7817  3353.2300     0.0000    2.50503    24.9997    2.50507    25.0005
 3633      C12   199.4880    15.2396  3353.2700     0.0000    2.50503    24.9997    2.50508    25.0005
 3634      C12   199.3820    15.0326  3353.2500     0.0000    2.50503    24.9997    2.50507    25.0005
 3635       H2   199.0960    60.1106  3353.7800     0.0000    2.50503    24.9997    2.50503    25.0005
 3636       H2   200.7660    15.2131  3353.2500     0.0000    2.50503    24.9997    2.50500    25.0005
 3637       H2   201.0050    15.1317  3353.2600     0.0000    2.50503    24.9997    2.50502    25.0005
 3638       H2   201.3110    30.6136  3353.7800     0.0000    2.50503    24.9997    2.50502    25.0005
 3639       H2   200.5730    46.4766  3353.7900     0.0000    2.50503    24.9997    2.50502    25.0005
 3640      BeO   200.9120     5.1226  3353.2400     0.0000    2.50503    24.9997    2.50501    25.0005
 3641   Optics   200.4730     5.1307  3353.3500     0.0000    2.50503    24.9997    2.50499    25.0005
 3642       H2   200.6260    45.2009  3353.2300     0.0000    2.79509    24.9997    2.79055    25.0005
 3643       H2   199.9210    45.3897  3353.2900     0.0000    2.79503    24.9997    2.79713    25.0005
 3644       H2   200.6860    45.4117  3353.2400     0.0000    2.79503    24.9997    2.79492    25.0005
 3645       H2   200.1540    45.1528  3353.2500     0.0000    2.79503    24.9997    2.79508    25.0005
 3646       H2   200.7260    45.8125  3353.2500     0.0000    2.79503    24.9997    2.79506    25.0005
 3647       H2   201.2250    45.6920  3353.2800     0.0000    2.79502    24.9997    2.79499    25.0005
 3648       H2   200.8050     0.1953  3353.3100     0.0000    2.79502    24.9997    2.79505    25.0005
 3649      C12   200.3000    96.3618  3353.2600     0.0000    2.79502    24.9997    2.79505    25.0005
 3650      C12   199.7280    95.9616  3353.2500     0.0000    2.79502    24.9997    2.79503    25.0005
 3651      C12   198.4640    96.5862  3353.2700     0.0000    2.79502    24.9997    2.79503    25.0005
 3652      He4   198.9490    95.9372  3353.2800     0.0000    2.79503    24.9997    2.79500    25.0005
 3653      He4   201.6900    95.9301  3353.2400     0.0000    2.79502    24.9997    2.79492    25.0005
 3654      He4   202.1430    96.0967  3353.2600     0.0000    2.79502    24.9997    2.79498    25.0005
 3655      He4   202.4220    94.7556  3353.2600     0.0000    2.79502    24.9997    2.79498    25.0005
 3656      He4   201.9960    95.4217  3353.2300     0.0000    2.79502    24.9997    2.79498    25.0005
 3657      He4   201.8830    96.2697  3353.2700     0.0000    3.05506    20.9997    3.06016    21.0033
 3658      He4   201.7440    96.1470  3353.2500     0.0000    3.05506    20.9997    3.05410    21.0033
 3659      He4   201.9900    95.6134  3353.2700     0.0000    3.05505    20.9997    3.05511    21.0033
 3660      He4   202.2820    95.9932  3353.2400     0.0000    3.05506    20.9997    3.05510    21.0033
 3661      He4   200.7860    38.3287  3353.3600     0.0000    3.05506    20.9997    3.05507    21.0033
 3662      C12   200.1400    95.3540  3353.2200     0.0000    3.05505    20.9997    3.05495    21.0033
 3663      C12   200.0600    94.8848  3353.2400     0.0000    3.05505    20.9997    3.05498    21.0033
 3664      C12   200.3260    96.9705  3353.2300     0.0000    2.90501    20.9997    2.90506    21.0033
 3665      C12   199.6680    96.2135  3353.2700     0.0000    2.90501    20.9997    2.90511    21.0033
 3666      C12   200.1200    95.5420  3353.3000     0.0000    2.90501    20.9997    2.90509    21.0033
 3667      C12   200.0740    95.7604  3353.2500     0.0000    2.90501    20.9997    2.90509    21.0033
 3668      C12   199.8140    96.5466  3356.0200     0.0000    2.90501    20.9997    2.90502    21.0033
 3669      C12   200.2670    95.9820  3356.0600     0.0000    2.90501    20.9997    2.90508    21.0033
 3670      C12   200.1870    95.4748  3356.0600     0.0000    2.90501    20.9997    2.90508    21.0033
 3671      BeO   199.8940     5.1646  3356.0500     0.0000    2.90501    20.9997    2.90504    21.0033
 3672      BeO   199.8810     4.9783  3356.1100     0.0000    2.90501    20.9997    2.90504    21.0033
 3673      He4   202.5090    95.1834  3356.0900     0.0000    2.90501    20.9997    2.90493    21.0033
 3674      He4   202.1090    95.5886  3356.0400     0.0000    2.90500    20.9997    2.90492    21.0033
 3675      He4   201.9030    94.9408  3356.0700     0.0000    2.90501    20.9997    2.90490    21.0033
 3676      He4   202.1960    95.0849  3356.0700     0.0000    2.90501    20.9997    2.90498    21.0033
 3677      He4   201.3840    77.7425  3356.1100     0.0000    2.90501    20.9997    2.90499    21.0033
 3678   Optics   202.8010     0.0488  3356.1100     0.0000    2.90501    20.9997    2.90502    21.0033
 3679   Optics   202.5490     5.0390  3356.0700     0.0000    2.90501    20.9997    2.90503    21.0033
 3680       H2   200.9720    40.6620  3356.0500     0.0000    2.90500    20.9997    2.90499    21.0033
 3681       H2   200.9320    40.3091  3356.0600     0.0000    2.90501    20.9997    2.90501    21.0033
 3682       H2   201.2850    40.3419  3356.0600     0.0000    2.90501    20.9997    2.90498    21.0033
 3683       H2   200.9450    40.0289  3356.0700     0.0000    2.90500    20.9997    2.90494    21.0033
 3687      BeO   200.2270     4.9980  3356.0400     0.0000    3.03508    22.9997    3.03503    22.9999
 3688      He4   200.5190     1.0228  3356.0300     0.0000    3.03508    22.9997    3.03509    22.9999
 3689      He4   200.5260    94.9323  3356.0500     0.0000    3.03508    22.9997    3.03507    22.9999
 3690      He4   198.1980    94.6829  3356.0400     0.0000    3.03508    22.9997    3.03508    22.9999
 3691      He4   195.5500    96.4847  3356.0500     0.0000    3.03508    22.9997    3.03508    22.9999
 3692      C12   200.6130    95.0123  3356.0900     0.0000    3.03508    22.9997    3.03497    22.9999
 3693    Dummy   200.1730    40.4333  3356.0600     0.0000    3.03508    22.9997    3.03504    22.9999
 3694    Dummy     7.4979    20.2549  3356.0500     0.0000    3.03507    22.9997    2.60000    22.9999
 3695    Dummy     7.4446    20.0433  3356.0500     0.0000    3.03508    22.9997    2.67784    22.9999
 3696    Dummy     7.4114    20.2679  3356.0300     0.0000    3.03508    22.9997    2.60200    22.9999
 3697    Dummy     7.4579    19.9689  3356.0500     0.0000    3.03508    22.9997    2.60200    22.9999
 3698    Dummy     7.5311    20.6175  3356.0400     0.0000    3.03508    22.9997    2.60131    22.9999
 3699      BeO     7.5045    20.0780  3356.0500     0.0000    3.03508    22.9997    2.59996    22.9999
 3700   Optics     7.4047    20.2631  3356.0500     0.0000    3.03507    22.9997    2.60005    22.9999
 3701   Optics     7.4979    20.3798  3356.0500     0.0000    3.03508    22.9997    2.60008    22.9999
 3702    Dummy     7.4380    20.1112  3356.0500     0.0000    3.03507    22.9997    2.59405    22.9999
 3703    Dummy     7.4579    10.1196  3356.0600     0.0000    3.03508    22.9997    2.50897    22.9999
 3704    Dummy     7.3914    10.1452  3356.0500     0.0000    3.03507    22.9997    2.52424    22.9999
 3705    Dummy     7.3914     9.9907  3356.0500     0.0000    3.03508    22.9997    2.52191    22.9999
 3706    Dummy     7.4446    10.0606  3356.0300     0.0000    3.03509    22.9997    3.03484    22.9999
 3707    Dummy     7.4979    10.2722  3356.0500     0.0000    3.03509    22.9997    3.03393    22.9999
 3708    Dummy     7.3848     9.8555  3356.0400     0.0000    3.03509    22.9997    3.03509    22.9999
 3729      BeO   170.3620     4.8537  3355.2900     3.7061    2.99508    24.9997    2.99670    24.9993
 3730      He3   170.5410     0.9808  3355.3700     3.7084    2.99508    24.9997    2.99505    24.9993
 3731      BeO   170.5080     5.1094  3356.0100     3.7022    2.99504    24.9997    2.99509    24.9993
 3732      BeO   170.2350     5.1887  3356.0600     3.7030    2.99504    24.9997    2.99510    24.9993
 3733      He3   170.1550     0.9880  3356.0600     3.6976    2.99504    24.9997    2.99505    24.9993
 3734      He3   170.4680    38.7161  3356.0100     4.1825    2.99504    24.9997    2.99493    24.9993
 3735      He3   170.6810   110.5500  3355.4300     3.6754    2.99504    24.9997    2.99494    24.9993
 3736      He3   170.5680   111.4280  3355.3700     3.6082    2.99504    24.9997    2.99499    24.9993
 3737      He3   170.9940   110.9860  3355.2900     3.6133    2.99504    24.9997    2.99504    24.9993
 3738      He3   170.9400     7.3590  3355.9800     4.2074    2.99504    24.9997    2.99501    24.9993
 3739      He3   170.9740   100.9820  3355.8400     3.6290    2.99504    24.9997    2.99494    24.9993
 3740      He3   170.8670   112.3190  3356.5800     3.6238    2.99505    24.9997    2.99495    24.9993
 3741      He3   170.9070   107.0420  3356.3700     3.6173    2.99505    24.9997    2.99502    24.9993
 3742      He3   170.8270   108.9280  3354.1700     3.6438    2.99508    24.9997    2.99493    24.9993
 3743      He3   170.5010   110.9860  3356.5500     3.9173    2.99509    24.9997    2.99495    24.9993
 3744      He3   171.1330   110.5810  3356.2900     3.6259    2.99508    24.9997    2.99495    24.9993
 3745      He3   170.6740   101.2830  3356.5500     3.6166    2.99508    24.9997    2.99496    24.9993
 3746      He3   170.8340   110.4590  3356.6900     3.9167    2.99508    24.9997    2.99510    24.9993
 3747      He3   170.7870   111.7290  3356.8500     3.9066    2.99508    24.9997    2.99500    24.9993
 3748      He3   170.5410    90.9749  3356.7000     3.6102    2.99508    24.9997    2.99499    24.9993
 3749      He3   212.4480     0.9531  3356.0100     4.5578    2.99508    24.9997    2.99507    24.9993
 3750      He3   215.8010   111.4380  3356.8800     3.9098    2.99508    24.9997    2.99506    24.9993
 3751      He3   215.5480   110.5760  3356.9700     3.9084    2.99508    24.9997    2.99491    24.9993
 3752      He3   216.2140   115.2990  3356.9000     3.8940    2.99508    24.9997    2.99492    24.9993
 3753      He3   207.9970     1.0317  3356.0000     3.7402    2.99508    24.9997    2.99507    24.9993
 3754      He3   212.4410   115.4280  3355.6100     4.1700    2.99508    24.9997    2.99498    24.9993
 3755      He3   212.3420   116.7610  3355.6000     4.1707    2.99509    24.9997    2.99504    24.9993
 3756      He3   210.6450   115.2530  3355.5900     3.6113    2.99508    24.9997    2.99493    24.9993
 3757      He3   209.6070   115.7070  3355.5900     3.6159    2.99508    24.9997    2.99510    24.9993
 3758      He3   210.5990   115.6960  3355.8700     3.8871    2.99508    24.9997    2.99491    24.9993
 3759      C12   207.3650    96.4362  3355.4700     3.6343    2.99508    24.9997    2.99500    24.9993
 3760      C12   207.5850    96.3529  3355.4900     3.6335    2.99508    24.9997    2.99499    24.9993
 3761    Dummy   207.7050    40.4529  3355.6000     3.6484    2.99508    24.9997    2.99495    24.9993
 3762    Dummy   207.7250    40.9327  3355.5800     3.6538    2.99508    24.9997    2.99503    24.9993
 3763    Dummy   207.8440    41.1229  3355.8200     3.6662    2.99508    24.9997    2.99492    24.9993
 3765    Dummy   208.0970    40.1661  3355.8000     3.6580    2.99508    24.9997    2.99505    24.9993
 3766      He3   211.5900   118.0610  3356.3400     3.5985    2.99508    24.9997    2.99497    24.9993
 3767      He3   211.5300   116.7100  3356.1600     3.6025    2.99508    24.9997    2.99498    24.9993
 3768      He3   211.3040   117.2110  3355.8000     3.6066    2.99508    24.9997    2.99496    24.9993
 3769      He3   211.4500   117.1030  3355.7900     3.6062    2.99508    24.9997    2.99500    24.9993
 3770      He3   209.7070   117.0350  3355.8300     3.6079    2.99508    24.9997    2.99509    24.9993
 3771      He3   210.7780   110.5750  3355.7700     3.6034    2.99508    24.9997    2.99496    24.9993
 3772      He3   210.6850   110.4520  3355.8000     3.6241    2.99508    24.9997    2.99493    24.9993
 3773      He3   210.1200   111.1100  3356.3900     3.6225    2.99507    24.9997    2.99497    24.9993
 3774      He3   210.7120   110.3280  3355.9200     3.6177    2.99508    24.9997    2.99505    24.9993
 3775      He3   209.1480    30.2205  3355.8300     3.6790    2.99508    24.9997    2.99497    24.9993
 3776      He3   209.2080    30.4969  3356.5700     3.8335    2.99507    24.9997    2.99494    24.9993
 3777      BeO   208.8220     4.7831  3355.9900     4.5993    2.99507    24.9997    2.99491    24.9993
 3778      He3   208.8950   118.4470  3355.8100     4.6006    2.99507    24.9997    2.99496    24.9993
 3779      He3   208.1570   118.1300  3355.7900     4.5983    2.99507    24.9997    2.99506    24.9993
 3780      He3   207.4780   118.8550  3355.7500     4.5944    2.99507    24.9997    2.99509    24.9993
 3781      He3   206.2540   118.9000  3355.7700     4.5988    2.99507    24.9997    2.99507    24.9993
 3782      He3   206.6600   118.2140  3355.7700     4.5986    2.99507    24.9997    2.99492    24.9993
 3783      He3   208.0570   118.4230  3355.7300     4.6028    2.99507    24.9997    2.99497    24.9993
 3784      He3   207.7450   119.1870  3355.7300     4.5964    2.99507    24.9997    2.99492    24.9993
 3785      He3   207.1920   118.6050  3355.7300     4.5967    2.99507    24.9997    2.99505    24.9993
 3786      He3   208.7690   118.2910  3355.7000     4.5961    2.99507    24.9997    2.99502    24.9993
 3787      He3   208.0440   118.0670  3355.5500     4.6024    2.99507    24.9997    2.99493    24.9993
 3788      He3   206.0810     0.0469  3356.1100     4.5977    2.99506    24.9997    2.99506    24.9993
 3789      He3   208.3030   118.7060  3355.7800     4.6006    2.99506    24.9997    2.99490    24.9993
 3790      He3   207.4520   118.5110  3355.7500     4.5967    2.99506    24.9997    2.99509    24.9993
 3791      He3   208.3500   119.1960  3355.7400     4.6041    2.99506    24.9997    2.99491    24.9993
 3792      He3   205.5620   118.0220  3355.7400     4.5897    2.99506    24.9997    2.99501    24.9993
 3793      He3   210.4920   118.9940  3355.7400     4.5891    2.99506    24.9997    2.99501    24.9993
 3794      He3   210.0400   118.4860  3355.7300     4.5900    2.99506    24.9997    2.99497    24.9993
 3795      C12   208.8160    95.4894  3355.7600     4.5989    2.99506    24.9997    2.99499    24.9993
 3796      C12   208.5630    94.9958  3355.9700     4.5979    2.99506    24.9997    2.99501    24.9993
 3797      C12   208.7220    95.1320  3355.7600     4.5961    2.99506    24.9997    2.99497    24.9993
 3798      C12   209.0290    95.2814  3355.8100     4.5960    2.99506    24.9997    2.99495    24.9993
 3799      C12   209.2210    95.6128  3355.8300     4.5950    2.99506    24.9997    2.99503    24.9993
 3800    Dummy   209.1150    40.2568  3355.8400     4.5995    2.99506    24.9997    2.99504    24.9993
 3801    Dummy   209.2810    40.0197  3355.8500     4.5954    2.99506    24.9997    2.99507    24.9993
 3802    Dummy   208.5500    38.8268  3355.8100     4.6004    2.99506    24.9997    2.99506    24.9993
 3803    Dummy   209.7870    40.1017  3355.8200     4.5994    2.99506    24.9997    2.99492    24.9993
 3804    Dummy   209.7200    39.7754  3355.8600     4.7670    2.99506    24.9997    2.99507    24.9993
 3805    Dummy   209.4740    39.8791  3355.7300     4.7290    2.99506    24.9997    2.99500    24.9993
 3806    Dummy   209.5340    40.6360  3355.7200     4.7490    2.99506    24.9997    2.99508    24.9993
 3807      He3   209.0150   117.7780  3355.5300     4.7566    2.99505    24.9997    2.99503    24.9993
 3808      He3   208.1100   118.0990  3355.6900     4.7318    2.79500    24.9997    2.76170    24.9993
 3809      He3   208.5560   117.8410  3355.6700     4.7325    2.79499    24.9997    2.76240    24.9993
 3810      He3   206.6870   117.6100  3355.6500     4.7525    2.79500    24.9997    2.79461    24.9993
 3811      He3   207.6250     0.0477  3356.1100     4.8512    2.79499    24.9997    2.79508    24.9993
 3812      He3   207.8840   118.0770  3355.6700     4.7442    2.79500    24.9997    2.79508    24.9993
 3813      He3   205.5090   116.4060  3355.7200     4.7539    2.79500    24.9997    2.79507    24.9993
 3814      He3   206.0750   119.6230  3355.6600     4.7450    2.79502    24.9997    2.79495    24.9993
 3815      He3   204.5640   118.4020  3355.6400     4.7865    2.79502    24.9997    2.79508    24.9993
 3816      He3   206.0680   118.6040  3355.6000     4.7672    2.79502    24.9997    2.79496    24.9993
 3817      He3   204.6970   118.7650  3355.5100     4.8132    2.79501    24.9997    2.79496    24.9993
 3818      He3   205.5090   118.4100  3355.5400     4.7322    2.79502    24.9997    2.79508    24.9993
 3819      He3   203.6730   118.6800  3355.5500     4.7540    2.79502    24.9997    2.79508    24.9993
 3820      He3   204.4050   116.3160  3355.5300     4.7098    2.79501    24.9997    2.79508    24.9993
 3821      He3   205.4630   116.8230  3355.5300     4.7378    2.79501    24.9997    2.79505    24.9993
 3822      C12   206.7670    95.1620  3355.4100     4.7339    2.79502    24.9997    2.79498    24.9993
 3823      C12   207.8110    95.5049  3355.5800     4.7057    2.79502    24.9997    2.79499    24.9993
 3824      C12   207.6450    95.4793  3355.5300     4.7504    2.79501    24.9997    2.79510    24.9993
 3825      C12   208.1640    95.3660  3355.6200     4.7545    2.79502    24.9997    2.79504    24.9993
 3826    Dummy   209.3150    40.3789  3355.5900     4.7386    2.79501    24.9997    2.79502    24.9993
 3827    Dummy   203.3670    41.0237  3355.6200     4.7359    2.79501    24.9997    2.79506    24.9993
 3828    Dummy   208.5030    40.2875  3355.5600     4.7533    2.79501    24.9997    2.79498    24.9993
 3829     Ca48   208.8560     5.0521  3355.4800     4.7265    2.79502    24.9997    2.79503    24.9993
 3830     Ca48   208.5960    39.9700  3355.5000     3.7458    2.79501    24.9997    2.79501    24.9993
 3831     Ca48   208.9020    40.3609  3355.6300     3.8422    2.79501    24.9997    2.79500    24.9993
 3832     Ca48   208.9820    40.0632  3355.7000     3.8190    2.79501    24.9997    2.79495    24.9993
 3833     Ca48   209.1150    40.3661  3355.7500     3.8390    2.79501    24.9997    2.79498    24.9993
 3834     Ca48   209.2010    40.5094  3355.7100     3.8384    2.79501    24.9997    2.79492    24.9993
 3835     Ca48   208.8950    40.0567  3355.7400     3.8284    2.79501    24.9997    2.79498    24.9993
 3836     Ca40   208.9350    40.4701  3355.7500     3.8510    2.79501    24.9997    2.79502    24.9993
 3837     Ca40   208.8760    40.2098  3355.7100     3.8441    2.79501    24.9997    2.79498    24.9993
 3838     Ca40   208.3830    38.0646  3355.6500     3.8910    2.79501    24.9997    2.79499    24.9993
 3839     Ca40   208.6830    38.1753  3355.6800     3.8889    2.79501    24.9997    2.79496    24.9993
 3840     Ca40   208.6030    38.3530  3355.6600     3.6354    2.79501    24.9997    2.79496    24.9993
 3841     Ca40   208.5430    38.2914  3355.7000     3.9143    2.79501    24.9997    2.79501    24.9993
 3842     Ca40   208.7290    37.6479  3355.7200     3.9197    2.79501    24.9997    2.79505    24.9993
 3843     Ca40   208.6560    38.2158  3355.6800     3.8890    2.79501    24.9997    2.79504    24.9993
 3844     Ca40   208.8420    38.3978  3355.7100     3.9358    2.79501    24.9997    2.79505    24.9993
 3845      He3   210.4190   118.0430  3356.5600     3.4037    2.50499    24.9997    2.50995    24.9993
 3846      He3   211.4300   118.9650  3356.5600     3.4514    2.50499    24.9997    2.50995    24.9993
 3847      He3   211.5300   119.6460  3356.5600     3.4064    2.50499    24.9997    2.50995    24.9993
 3848      He3   211.3300   110.5550  3356.5600     3.4493    2.50499    24.9997    2.50995    24.9993
 3849      He3   211.6430   117.6290  3356.5600     3.4407    2.50499    24.9997    2.50995    24.9993
 3850      He3   211.7960   118.6590  3356.5600     3.4104    2.50499    24.9997    2.50995    24.9993
 3851      He3   211.6630   120.0190  3356.5600     3.3783    2.50499    24.9997    2.50995    24.9993
 3852      He3   211.5030   119.5900  3356.5600     3.3907    2.50499    24.9997    2.50594    24.9993
 3853      He3   211.7230   119.4320  3356.5600     3.4067    2.50499    24.9997    2.50448    24.9993
 3854      He3   211.1970   118.7750  3356.5600     3.3920    2.50499    24.9997    2.50498    24.9993
 3855      He3   211.4240   100.7540  3356.5600     3.4951    2.50499    24.9997    2.50508    24.9993
 3856      He3   211.2170    80.3975  3356.5700     3.5897    2.50499    24.9997    2.50507    24.9993
 3857      He3   210.7650    59.6831  3356.5600     3.7372    2.50499    24.9997    2.50506    24.9993
 3858      He3   210.0600    59.8911  3356.5600     3.7368    2.50499    24.9997    2.50506    24.9993
 3859      He3   210.0600    40.4895  3355.6000     3.8899    2.50499    24.9997    2.50505    24.9993
 3860      He3   209.5140    20.2562  3355.5600     4.1133    2.50499    24.9997    2.50506    24.9993
 3861      He3   209.4280    20.0049  3355.1900     4.2053    2.50499    24.9997    2.50504    24.9993
 3862      C12   208.7490     0.0489  3356.1100     5.1076    2.50499    24.9997    2.50495    24.9993
 3863      C12   208.8160    94.7126  3356.1100     5.1249    2.50499    24.9997    2.50494    24.9993
 3864      C12   208.8160    94.7126  3356.1100     5.1249    2.50499    24.9997    2.50494    24.9993
 3865      C12   208.8160    94.7126  3356.1100     5.1249    2.50499    24.9997    2.50494    24.9993
 3866      C12   208.8160    94.7126  3356.1100     5.1249    2.50499    24.9997    2.50494    24.9993
 3867      C12   208.9350    79.3260  3356.5500     3.5792    2.50499    24.9997    2.50501    24.9993
 3868      C12   208.8420    60.1340  3356.5400     3.7158    2.50499    24.9997    2.50500    24.9993
 3869      C12   208.7890    60.1530  3356.5600     3.7265    2.50499    24.9997    2.50501    24.9993
 3870      C12   209.2350    39.9197  3355.7800     4.8705    2.50499    24.9997    2.50506    24.9993
 3871      C12   209.3280    20.6041  3355.7300     4.8705    2.50499    24.9997    2.50505    24.9993
 3872    Dummy   209.3080    40.5604  3356.5200     4.8705    2.50499    24.9997    2.50503    24.9993
 3873    Dummy   209.1150    40.0797  3356.5200     4.8705    2.50499    24.9997    2.50502    24.9993
 3874    Dummy   208.9750    40.0716  3355.2900     4.8705    2.50499    24.9997    2.50502    24.9993
 3875     Ca40   209.2350    39.8403  3355.5500     4.8705    2.50499    24.9997    2.50497    24.9993
 3876     Ca40   209.0420    40.5099  3355.5900     4.8705    2.50499    24.9997    2.50493    24.9993
 3877     Ca40   209.3810    40.3924  3355.5200     4.8705    2.50499    24.9997    2.50494    24.9993
 3878     Ca40   209.8400    40.6604  3355.5500     4.8705    2.50499    24.9997    2.50497    24.9993
