 RunNo         P0_L         P0_E       Target        Kin
  3671      2.90425      2.90500          BeO     kin3.1
  3672      2.90425      2.90500          BeO     kin3.1
  4077      2.90420      2.90500          BeO     kin3.1
  4078      2.90420      2.90500          BeO     kin3.1
  4242      2.89762      2.90500          BeO     kin3.1
  4243      2.90417      2.90500          BeO     kin3.1
  3664      2.90425      2.90500          C12     kin3.1
  3665      2.90425      2.90500          C12     kin3.1
  3666      2.90425      2.90500          C12     kin3.1
  3667      2.90425      2.90500          C12     kin3.1
  3668      2.90425      2.90500          C12     kin3.1
  3669      2.90425      2.90500          C12     kin3.1
  3670      2.90425      2.90500          C12     kin3.1
  4091      2.90423      2.90500          C12     kin3.1
  4092      2.90423      2.90500          C12     kin3.1
  4093      2.90423      2.90500          C12     kin3.1
  4094      2.90423      2.90500          C12     kin3.1
  4095      2.90423      2.90500         Ca40     kin3.1
  4096      2.90423      2.90500         Ca40     kin3.1
  4097      2.90423      2.90500         Ca40     kin3.1
  4098      2.90423      2.90500         Ca40     kin3.1
  4099      2.90423      2.90500         Ca40     kin3.1
  4245      2.90417      2.90500         Ca40     kin3.1
  4246      2.90417      2.90500         Ca40     kin3.1
  4102      2.90423      2.90500         Ca48     kin3.1
  4103      2.90422      2.90500         Ca48     kin3.1
  4247      2.90417      2.90500         Ca48     kin3.1
  4248      2.90417      2.90500         Ca48     kin3.1
  4249      2.90417      2.90500         Ca48     kin3.1
  4250      2.90417      2.90500         Ca48     kin3.1
  4100      2.90423      2.90500   Dummy_20cm     kin3.1
  4101      2.90423      2.90500   Dummy_20cm     kin3.1
  3681      2.90425      2.90500           H2     kin3.1
  3682      2.90425      2.90500           H2     kin3.1
  3683      2.90425      2.90500           H2     kin3.1
  4081      2.90420      2.90500          He3     kin3.1
  4082      2.90421      2.90500          He3     kin3.1
  4083      2.90431      2.90500          He3     kin3.1
  4084      2.90431      2.90500          He3     kin3.1
  4085      2.90431      2.90500          He3     kin3.1
  4086      2.90431      2.90500          He3     kin3.1
  4087      2.90431      2.90500          He3     kin3.1
  4088      2.90431      2.90500          He3     kin3.1
  4089      2.90431      2.90500          He3     kin3.1
  4090      2.90427      2.90500          He3     kin3.1
  3673      2.90425      2.90500          He4     kin3.1
  3674      2.90425      2.90500          He4     kin3.1
  3675      2.90425      2.90500          He4     kin3.1
  3676      2.90425      2.90500          He4     kin3.1
  3677      2.90425      2.90500          He4     kin3.1
  3679      2.90425      2.90500       Optics     kin3.1
  4079      2.90420      2.90500       Optics     kin3.1
  3662      3.05438      3.05500          C12     kin3.2
  3663      3.05438      3.05500          C12     kin3.2
  4076      3.05440      3.05500   Dummy_20cm     kin3.2
  3892      3.05440      3.05500          He3     kin3.2
  3893      3.05440      3.05500          He3     kin3.2
  3894      3.05440      3.05500          He3     kin3.2
  4073      3.05440      3.05500          He3     kin3.2
  4074      3.05440      3.05500          He3     kin3.2
  4075      3.05440      3.05500          He3     kin3.2
  3658      3.05438      3.05500          He4     kin3.2
  3660      3.05438      3.05500          He4     kin3.2
  3661      3.05438      3.05500          He4     kin3.2
  4151      2.85418      2.85500          BeO     kin4.1
  4163      2.85418      2.85500          C12     kin4.1
  4164      2.85418      2.85500          C12     kin4.1
  4165      2.85418      2.85500         Ca40     kin4.1
  4166      2.85418      2.85500         Ca40     kin4.1
  4167      2.85418      2.85500         Ca40     kin4.1
  4168      2.85418      2.85500         Ca40     kin4.1
  4169      2.85418      2.85500         Ca40     kin4.1
  4170      2.85418      2.85500         Ca48     kin4.1
  4171      2.85418      2.85500         Ca48     kin4.1
  4172      2.85418      2.85500         Ca48     kin4.1
  4173      2.85418      2.85500         Ca48     kin4.1
  4178      2.85418      2.85500   Dummy_10cm     kin4.1
  4179      2.85418      2.85500   Dummy_10cm     kin4.1
  4175      2.85418      2.85500   Dummy_20cm     kin4.1
  4176      2.85418      2.85500   Dummy_20cm     kin4.1
  4177      2.85418      2.85500   Dummy_20cm     kin4.1
  4153      2.85418      2.85500          He3     kin4.1
  4154      2.85418      2.85500          He3     kin4.1
  4155      2.85418      2.85500          He3     kin4.1
  4156      2.85418      2.85500          He3     kin4.1
  4157      2.85418      2.85500          He3     kin4.1
  4158      2.85418      2.85500          He3     kin4.1
  4159      2.85418      2.85500          He3     kin4.1
  4160      2.85418      2.85500          He3     kin4.1
  4161      2.85418      2.85500          He3     kin4.1
  4162      2.85418      2.85500          He3     kin4.1
  4152      2.85418      2.85500       Optics     kin4.1
  3692      3.03440      3.03500          C12     kin4.2
  4121      3.03424      3.03500          C12     kin4.2
  4122      3.03424      3.03500          C12     kin4.2
  4123      3.03424      3.03500         Ca40     kin4.2
  4124      3.03424      3.03500         Ca40     kin4.2
  4126      3.03424      3.03500         Ca48     kin4.2
  4127      3.03424      3.03500         Ca48     kin4.2
  4128      3.03424      3.03500   Dummy_10cm     kin4.2
  4129      3.03424      3.03500   Dummy_10cm     kin4.2
  4130      3.03424      3.03500   Dummy_10cm     kin4.2
